model,ablation,seed,station,in_domain,n_windows,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Transformer,full_normon,1,Dingling,False,6895,4.8698320388793945,8.557924270629883,3.605142593383789,4.5670647621154785,11.997618675231934,15.924842834472656,3.1224918365478516,4.168948173522949,0.7540774345397949,1.0551886558532717
Transformer,full_normon,1,Dongsi,False,6895,4.930964946746826,8.986678123474121,3.116016387939453,3.9876387119293217,12.990678787231444,17.045751571655273,2.900202989578247,3.9481027126312256,0.7169601917266846,0.9975603818893432
Transformer,full_normon,1,Guanyuan,False,6895,4.982722282409668,9.038199424743652,3.2120115756988525,4.079988956451416,13.093740463256836,17.130756378173828,2.90376615524292,3.955501556396485,0.7213696837425232,1.0005249977111816
Transformer,full_normon,1,Gucheng,False,6895,5.0065999031066895,8.932486534118652,3.536278247833252,4.464217185974121,12.701422691345217,16.799959182739258,2.9003913402557373,3.929286479949951,0.8883081674575806,1.2450227737426758
Transformer,full_normon,1,Huairou,False,6895,5.038276672363281,9.042134284973145,3.7994911670684814,4.744300842285156,12.66618537902832,16.966148376464844,2.9525339603424072,3.94950270652771,0.7348959445953369,1.040995478630066
Transformer,full_normon,1,Nongzhanguan,False,6895,4.953112602233887,9.015226364135742,3.1626923084259033,4.029365062713623,13.051746368408203,17.102710723876953,2.8798441886901855,3.9197728633880615,0.7181658744812012,0.9970544576644896
Transformer,full_normon,1,Shunyi,False,6895,4.854053974151611,8.712441444396973,3.214311122894287,4.079593658447266,12.442888259887695,16.411352157592773,2.9863898754119873,4.055725574493408,0.7726268172264099,1.096369981765747
Transformer,full_normon,1,Tiantan,False,6895,5.067579746246338,9.069091796875,3.460019826889038,4.337029933929443,13.157641410827637,17.12604331970215,2.925452470779419,3.984574556350708,0.7272049784660339,1.0028539896011353
Transformer,full_normon,1,Wanliu,False,6895,4.977435111999512,8.919349670410156,3.5556018352508545,4.5159525871276855,12.827689170837402,16.784971237182617,2.8843867778778076,3.914174795150757,0.6420630216598511,0.8771508932113647
Transformer,full_normon,1,Wanshouxigong,False,6895,5.009029388427734,9.045117378234863,3.3014559745788574,4.168397903442383,13.101971626281738,17.12416648864746,2.9110052585601807,3.9548499584198,0.7216835021972656,1.001550316810608
Transformer,full_normon,2,Aotizhongxin,True,6895,4.907337188720703,8.923017501831055,3.1050705909729004,4.027411937713623,12.920730590820312,16.892391204833984,2.881749391555786,3.987607955932617,0.7217944860458374,1.003510355949402
Transformer,full_normon,2,Changping,False,6895,4.738464832305908,8.459076881408691,3.316650152206421,4.289400100708008,11.904486656188965,15.82623291015625,2.99475359916687,4.032464504241943,0.7379671931266785,1.0462243556976318
Transformer,full_normon,2,Dingling,False,6895,4.789088249206543,8.47612190246582,3.5226621627807617,4.49953031539917,11.921462059020996,15.81121826171875,2.969931364059448,4.004090309143066,0.7422975301742554,1.05141019821167
Transformer,full_normon,2,Dongsi,False,6895,4.844326496124268,8.857134819030762,2.9769787788391113,3.88358998298645,12.797983169555664,16.790569305419922,2.883448600769043,3.9726643562316895,0.7188968062400818,1.0038414001464844
Transformer,full_normon,2,Guanyuan,False,6895,4.870959281921387,8.859926223754883,3.0418078899383545,3.945612907409668,12.81301498413086,16.773530960083008,2.910068988800049,4.008723258972168,0.7189497351646423,1.0020818710327148
Transformer,full_normon,2,Gucheng,False,6895,4.870183944702148,8.809715270996094,3.33724308013916,4.302327632904053,12.423751831054688,16.581623077392578,2.8576505184173584,3.9307353496551514,0.8620917201042175,1.238296627998352
Transformer,full_normon,2,Huairou,False,6895,5.016162395477295,8.991609573364258,3.898536920547486,4.883011817932129,12.605786323547363,16.839237213134766,2.823697090148926,3.858779430389404,0.7366254329681396,1.0498443841934204
Transformer,full_normon,2,Nongzhanguan,False,6895,4.871568202972412,8.89541244506836,3.019070863723755,3.934869289398194,12.885419845581056,16.866817474365234,2.8628792762756348,3.9416074752807617,0.7189029455184937,1.002214431762695
Transformer,full_normon,2,Shunyi,False,6895,4.825212478637695,8.634744644165039,3.1781253814697266,4.101126670837402,12.332653045654297,16.216049194335938,3.016597270965576,4.153435230255127,0.7734735012054443,1.0975960493087769
Transformer,full_normon,2,Tiantan,False,6895,4.975792407989502,8.974936485290527,3.2272231578826904,4.152729034423828,13.045252799987791,16.969402313232422,2.907740592956543,3.9978861808776855,0.7229495644569397,1.00446879863739
Transformer,full_normon,2,Wanliu,False,6895,4.907595157623291,8.819684028625488,3.4129602909088135,4.408711910247803,12.695646286010742,16.586536407470703,2.8820505142211914,3.9782485961914062,0.6397190690040588,0.8780643939971924
Transformer,full_normon,2,Wanshouxigong,False,6895,4.906748294830322,8.909032821655273,3.1085591316223145,4.022160053253174,12.908409118652344,16.865745544433594,2.889228582382202,3.9803388118743896,0.7207958102226257,1.0046236515045166
Transformer,full_normon,3,Aotizhongxin,True,6895,4.851125717163086,9.028620719909668,2.8126490116119385,3.6533071994781494,12.999593734741213,17.212499618530273,2.8765480518341064,3.928611993789673,0.7157100439071655,1.0066092014312744
Transformer,full_normon,3,Changping,False,6895,4.573520660400391,8.330753326416016,2.858123779296875,3.743786334991455,11.772467613220217,15.71467113494873,2.923275947570801,3.942176818847656,0.7402153015136719,1.0479719638824463
Transformer,full_normon,3,Dingling,False,6895,4.640261650085449,8.367009162902832,3.0198686122894287,3.9268407821655273,11.858043670654297,15.742735862731934,2.9374067783355713,3.957410335540771,0.7457302808761597,1.0547268390655518
