dataset,loss,channel,baseline,mean_diff,DM,p_raw,lag,p_holm
jena,sq,agg,Transformer,-3.9313455407706224,-15.480367455854237,0.0,11,0.0
jena,sq,T,Transformer,-5.839840783872936,-17.742988891773457,0.0,11,0.0
jena,sq,RH,Transformer,-6.205322992643459,-7.362571650662062,1.9051427102567686e-13,11,1.5241141682054149e-12
jena,sq,P,Transformer,-3.633349961449948,-12.627198410689141,0.0,11,0.0
jena,sq,WS,Transformer,-0.04686842511614349,-4.434603152330079,9.294943381643606e-06,11,2.7884830144930817e-05
jena,sq,agg,iTransformer,-3.185846390467154,-7.970916465360307,1.7763568394002505e-15,11,5.329070518200751e-15
jena,sq,T,iTransformer,-2.9479057181216466,-11.531654866320922,0.0,11,0.0
jena,sq,RH,iTransformer,-7.288271902420496,-4.910559032776833,9.184856146760012e-07,11,2.7554568440280036e-06
jena,sq,P,iTransformer,-2.256786719477764,-7.8050226341632145,6.439293542825908e-15,11,1.9317880628477724e-14
jena,sq,WS,iTransformer,-0.2504212218487107,-7.92487683786409,2.4424906541753444e-15,11,2.19824158875781e-14
beijing_aotizhongxin,abs,agg,Autoformer,-1.310687709068821,-20.598014840570592,0.0,10,0.0
beijing_aotizhongxin,abs,T,Autoformer,-1.2618205009743297,-24.642165845952555,0.0,10,0.0
beijing_aotizhongxin,abs,RH,Autoformer,-2.205463774194457,-11.06982066735679,0.0,10,0.0
beijing_aotizhongxin,abs,P,Autoformer,-1.709264397716822,-16.418953706604817,0.0,10,0.0
beijing_aotizhongxin,abs,WS,Autoformer,-0.06620216338967524,-9.248375236166632,0.0,10,0.0
beijing_aotizhongxin,abs,agg,Crossformer,-0.09644865954707108,-3.4866811274878318,0.0004921018767274354,10,0.0009842037534548709
beijing_aotizhongxin,abs,T,Crossformer,-1.0238977504169295,-22.41206334114354,0.0,10,0.0
beijing_aotizhongxin,abs,RH,Crossformer,0.5804388812108693,6.18224618850804,6.680322961472029e-10,10,5.3442583691776235e-09
beijing_aotizhongxin,abs,P,Crossformer,0.04145644746945911,1.7321668094238267,0.08328859403056499,10,0.08328859403056499
beijing_aotizhongxin,abs,WS,Crossformer,0.016207783548316715,5.4092676005320435,6.54093890162244e-08,10,3.27046945081122e-07
beijing_aotizhongxin,abs,agg,DLinear,-0.2117094418045405,-4.440232886107442,9.126266636627633e-06,10,2.73787999098829e-05
beijing_aotizhongxin,abs,T,DLinear,-0.00772829692361884,-0.2703441102902521,0.7869036256238711,10,1.0
beijing_aotizhongxin,abs,RH,DLinear,-0.21568943489107908,-1.3598333014766923,0.17392715044487583,10,0.6957086017795033
beijing_aotizhongxin,abs,P,DLinear,-0.56830052505578,-9.53104397520579,0.0,10,0.0
beijing_aotizhongxin,abs,WS,DLinear,-0.055119510347684114,-8.114797098962505,4.440892098500626e-16,10,3.552713678800501e-15
