model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,loss,aug_block,norm_variant,width,bl_d_model,bl_d_ff
Informer,jena,full,0,0.0,2867475.0,555.1,6.01,0.1699786184834721,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.563803195953369,5.743448734283447,32.98720169067383,23.882843017578125,0.6290245056152344,3.077702760696411,3.745577573776245,7.509552478790283,10.087583541870115,10.7384614944458,2.818441152572632,3.83394718170166,0.2844124734401703,0.8495194315910339,1.20869779586792,2.158524513244629,3.259315252304077,3.207603931427002,5.2807698249816895,3.73990797996521,5.98938512802124,4.394904136657715,6.851286888122559,0.792346730898284,0.2575959002508737,0.9972606151164238,0.4094336568200601,0.9742569579357344,0.7374766084179146,0.0721796807592752,huber,0.5,off,default,,
Informer,jena,full,2,0.0,2867475.0,516.8,6.02,0.1677032186229948,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.5029854774475098,5.70859432220459,32.58805084228516,23.989402770996097,0.6354044675827026,2.944798231124878,3.6511268615722656,7.6517815589904785,10.151615142822266,11.056745529174805,2.5527539253234863,3.5323312282562256,0.2578167617321014,0.8626042008399963,1.2201849222183228,2.1459221839904785,3.272233486175537,3.1161913871765137,5.18302059173584,3.6551084518432617,5.942734241485596,4.294073581695557,6.776632308959961,0.7737303470424696,0.2415221018352865,0.9973851326111318,0.3888758526382224,0.9727348241472322,0.734729756010394,0.0721796807592752,huber,0.5,off,default,,
Informer,jena,full,4,0.0,2867475.0,557.9,5.91,0.1642507627275639,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3562915325164795,5.488774299621582,30.126644134521484,23.249658584594727,0.6545921564102173,2.7192277908325195,3.3843111991882324,7.300363063812256,9.761674880981444,10.588205337524414,2.556365966796875,3.5084736347198486,0.2581343054771423,0.8492090702056885,1.205549240112305,2.0020766258239746,2.994234085083008,3.0847713947296143,5.148203372955322,3.453981637954712,5.638893127441406,4.107492923736572,6.47706413269043,0.7566358690441952,0.2287005735556652,0.999626447515876,0.372238236180555,0.9752182995572078,0.7370936846257189,0.0721796807592752,huber,0.5,off,default,,
TimesNet,beijing_aotizhongxin,full,1,0.0,1186378.0,499.3,4.47,0.1829234764952204,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.411617755889893,8.177241325378418,66.86727905273438,27.559450149536133,0.6370518207550049,2.880236387252808,3.671824455261232,11.49644660949707,15.490548133850098,28.19260025024414,2.589505434036255,3.618370056152344,0.2550819218158722,0.6802821159362793,0.9680588245391846,2.7723724842071533,4.87482213973999,3.826782703399658,7.065056324005127,4.530481338500977,8.37707805633545,5.392213344573975,9.687439918518066,0.7321247280638143,0.393431855500821,1.0,0.5646947914211643,0.972138951156844,0.8533500806169886,0.1737490935460478,huber,0.5,off,default,,
TimesNet,beijing_aotizhongxin,full,3,0.0,1186378.0,468.1,3.97,0.1817094581050439,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.47479248046875,8.26345157623291,68.28462982177734,27.58391189575196,0.6315696239471436,2.959161758422852,3.732863187789917,11.673367500305176,15.656492233276367,27.432403564453125,2.585428237915039,3.623617887496948,0.2547298669815063,0.6812116503715515,0.9735983610153198,2.8439316749572754,4.947623252868652,3.880262136459351,7.1974945068359375,4.6077961921691895,8.442696571350098,5.358822822570801,9.682406425476074,0.7300580130529369,0.3915992481817439,1.0,0.5628046274003171,0.9735713057940494,0.8672703742448546,0.1737490935460478,huber,0.5,off,default,,
Autoformer,beijing_aotizhongxin,full,0,0.0,2674742.0,444.5,6.66,0.2265704171536839,10.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.377130031585693,9.30435276031494,86.57097625732422,30.392578125,0.5551005601882935,3.5564661026000977,4.434829235076904,13.494147300720217,17.357696533203125,30.676734924316406,3.729053258895874,4.928987503051758,0.3676156401634216,0.7288558483123779,1.0156768560409546,4.459799289703369,7.304918766021728,4.9314494132995605,8.405380249023438,5.418368339538574,9.374438285827637,6.119819641113281,10.742446899414062,0.7382704858593183,0.3989505684420938,0.9995826377295493,0.5702890139000506,0.9655527136878872,0.8320449591032681,0.1737490935460478,huber,0.5,on,default,,
Autoformer,beijing_aotizhongxin,full,2,0.0,2674742.0,407.0,6.81,0.2293600859211228,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.277015686035156,9.253397941589355,85.62538146972656,29.82115173339844,0.5569252967834473,3.1728944778442383,4.036463737487793,13.319597244262695,17.2982234954834,32.03386688232422,3.904994249343872,5.093439102172852,0.385011225938797,0.7105804085731506,1.018235445022583,4.362387657165527,7.137991428375244,4.772284030914307,8.250744819641113,5.334094524383545,9.352222442626951,6.120187759399414,10.79613971710205,0.7197123519458545,0.3826731619017196,0.9999652198107958,0.5535212352239036,0.963479992041399,0.8210321134777875,0.1737490935460478,huber,0.5,on,default,,
Autoformer,beijing_aotizhongxin,full,4,0.0,2674742.0,407.3,6.98,0.2285028942785046,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.326385021209717,9.434255599975586,89.00518035888672,29.960662841796875,0.5510507822036743,3.094135284423828,3.945614814758301,13.577520370483398,17.69733428955078,32.98660659790039,3.9251441955566406,5.120452880859375,0.3869460523128509,0.7087406516075134,1.0189141035079956,4.534206867218018,7.690695285797119,4.887362480163574,8.648720741271973,5.328917980194092,9.486844062805176,6.06855058670044,10.631227493286133,0.7215615180082185,0.3841978609625668,0.9995130773511408,0.5550448084054388,0.9636395169825572,0.8279458377337616,0.1737490935460478,huber,0.5,on,default,,
PatchTST,beijing_aotizhongxin,full,1,0.0,1657880.0,339.4,4.66,0.1822916178672335,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.391933441162109,8.402240753173828,70.59764862060547,27.29376602172852,0.6261906027793884,2.022556781768799,2.670807123184204,12.100408554077148,16.12787437438965,28.840368270874023,2.749181270599365,3.7637691497802734,0.2707503139972687,0.6955834627151489,0.991496205329895,1.928100347518921,3.596489906311035,3.852062463760376,7.3357157707214355,4.694094657897949,8.852071762084961,5.253084182739258,9.66954517364502,0.7002719361856418,0.3669640464065551,1.0,0.5369037281868855,0.971222258841034,0.8606845642590576,0.1737490935460478,huber,0.5,off,default,,
PatchTST,beijing_aotizhongxin,full,3,0.0,1657880.0,709.4,4.74,0.1753303399251772,23.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.3253560066223145,8.26891803741455,68.37500762939453,27.25074958801269,0.6306621432304382,2.244435787200928,2.9500293731689453,11.869829177856444,15.852582931518556,27.40624237060547,2.493017673492432,3.536708354949951,0.2454418987035751,0.6941419243812561,0.9923096299171448,1.812803149223328,3.37568736076355,3.6280808448791504,7.000966548919678,4.643001079559326,8.758399963378906,5.3304972648620605,9.65781307220459,0.7070219966159053,0.3722712794883082,1.0,0.5425622251995547,0.9684723207823716,0.8259184221961703,0.1737490935460478,huber,0.5,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.0,1892219.0,371.3,3.38,0.158763326750697,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.135352611541748,8.203083992004395,67.29058837890625,26.46650695800781,0.6590407490730286,2.0486228466033936,2.6139585971832275,11.602651596069336,15.868135452270508,27.75169563293457,2.2204129695892334,3.104062795639038,0.2188998460769653,0.6697230339050293,0.9469360709190368,1.783778429031372,3.37960171699524,3.472067356109619,6.972280502319336,4.338028430938721,8.5166015625,5.140446662902832,9.603920936584473,0.9065083393763596,0.6600853402762711,0.9523163606010016,0.7797189355431208,0.9754996113587056,0.8858849585470918,0.1737490935460478,huber,0.5,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.0,1892219.0,331.1,3.39,0.15950857611455,16.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.237703800201416,8.29566478729248,68.81806182861328,26.78744888305664,0.6481520533561707,1.9626718759536743,2.52400541305542,11.965503692626951,16.050838470458984,28.13630104064941,2.348177671432495,3.215781688690185,0.2313234657049179,0.6744614243507385,0.9648895263671876,1.846879243850708,3.32806658744812,3.698074102401733,7.201583385467529,4.537164211273193,8.808730125427246,5.223926067352295,9.68075180053711,0.8966521634034325,0.6316503186728744,0.9720367278797996,0.7657196087564043,0.9756001846321128,0.8810869633772243,0.1737490935460478,huber,0.5,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.0,1892219.0,374.7,3.4,0.1627356686008198,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.329340934753418,8.425020217895508,70.98096466064453,27.01066780090332,0.6457690596580505,2.0328497886657715,2.604504346847534,12.207724571228027,16.296939849853516,30.086973190307617,2.4081602096557617,3.2603847980499268,0.237414076924324,0.6686294674873352,0.9591580629348756,2.1013970375061035,3.742215871810913,3.808735847473145,7.417120456695557,4.471328258514404,8.756993293762207,5.246442317962647,9.694372177124023,0.8891648537587624,0.6138635518516088,0.9760712298274904,0.7537095972820905,0.975123134532572,0.8784694264801303,0.1737490935460478,huber,0.5,off,default,,
Transformer,jena,full,1,0.0,2670099.0,306.0,5.26,0.170569812537675,8.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.4963648319244385,5.656942844390869,32.00100326538086,23.811309814453125,0.628771960735321,2.913243293762207,3.5828044414520264,7.538296222686768,10.003536224365234,11.042882919311523,2.6742422580718994,3.680087327957153,0.2702255845069885,0.859679102897644,1.246501326560974,2.2838292121887207,3.4457597732543945,3.0978450775146484,5.052043914794922,3.634100914001465,5.905758380889893,4.177492141723633,6.510308265686035,0.763370602051577,0.2336425923409871,0.999252895031752,0.3787312699099383,0.9762611445147624,0.7441845579606459,0.0721796807592752,huber,0.5,off,default,,
