model,dataset,ablation,seed,missing_rate,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
LSTM,jena,full,3,0.1,3.379509210586548,5.5717315673828125,2.4578285217285156,3.1275572776794434,7.639448165893555,10.001285552978516,2.532243490219116,3.5731937885284424,0.8885152339935303,1.265599012374878
LSTM,jena,full,3,0.2,3.3867976665496826,5.581000328063965,2.457555770874023,3.126633882522583,7.66046667098999,10.018580436706545,2.539433240890503,3.582801103591919,0.8897319436073303,1.2672752141952517
LSTM,jena,full,4,0.0,3.3395044803619385,5.531079292297363,2.480512857437134,3.162665605545044,7.566592216491699,9.93529987335205,2.4248464107513428,3.4729161262512207,0.8860681056976318,1.263945698738098
LSTM,jena,full,4,0.05,3.3417158126831055,5.5336174964904785,2.480085849761963,3.16152024269104,7.572235107421875,9.9398775100708,2.428117513656616,3.4769182205200195,0.8864248991012573,1.264254450798035
LSTM,jena,full,4,0.1,3.3447978496551514,5.537440776824951,2.4796290397644043,3.1610679626464844,7.58008861541748,9.94679355621338,2.432426691055298,3.4816455841064453,0.8870427012443542,1.2649527788162231
LSTM,jena,full,4,0.2,3.3516571521759033,5.545917987823486,2.479586362838745,3.160402536392212,7.597639560699463,9.961814880371094,2.4413797855377197,3.492906093597412,0.8880259990692139,1.2659045457839966
PatchTST,jena,full,0,0.0,3.348778486251831,5.666333198547363,2.3700168132781982,3.0781569480895996,7.757140159606934,10.287006378173828,2.362262725830078,3.390420198440552,0.9056953191757202,1.279385685920715
PatchTST,jena,full,0,0.05,3.357672691345215,5.676364421844482,2.3742494583129883,3.0815982818603516,7.777373313903809,10.30446720123291,2.372072219848633,3.4005115032196045,0.9069910049438477,1.2816699743270874
PatchTST,jena,full,0,0.1,3.369288444519043,5.6903252601623535,2.3814244270324707,3.0887746810913086,7.802623271942139,10.327669143676758,2.384674310684204,3.4160046577453613,0.9084324836730957,1.2840635776519775
PatchTST,jena,full,0,0.2,3.3977675437927246,5.726637840270996,2.3986191749572754,3.107306718826294,7.861479759216309,10.38794231414795,2.4186694622039795,3.456495523452759,0.9123029112815857,1.2904967069625854
PatchTST,jena,full,1,0.0,3.3617665767669678,5.62147331237793,2.3423240184783936,3.024127244949341,7.802710056304932,10.202249526977539,2.3919284343719482,3.3965067863464355,0.9101029634475708,1.2791920900344849
PatchTST,jena,full,1,0.05,3.37272572517395,5.635941505432129,2.3496949672698975,3.0322682857513428,7.82780122756958,10.227570533752441,2.4022164344787598,3.4083564281463623,0.9111858010292053,1.2808620929718018
PatchTST,jena,full,1,0.1,3.384634017944336,5.652127742767334,2.357321262359619,3.040736198425293,7.853652000427246,10.254956245422363,2.414994716644287,3.424997329711914,0.9125669002532959,1.282710313796997
PatchTST,jena,full,1,0.2,3.4122159481048584,5.686503887176514,2.3784902095794678,3.064976453781128,7.911723613739014,10.31225299835205,2.4425413608551025,3.456660509109497,0.9161098003387451,1.2884645462036133
PatchTST,jena,full,2,0.0,3.3363845348358154,5.627615451812744,2.356196880340576,3.049790859222412,7.751118183135986,10.210159301757812,2.3290486335754395,3.388082981109619,0.9091743230819702,1.2854934930801392
PatchTST,jena,full,2,0.05,3.348160743713379,5.645277500152588,2.362898826599121,3.0563907623291016,7.78056001663208,10.243574142456055,2.3384132385253906,3.398232936859131,0.9107725620269775,1.2869879007339478
