model,dataset,ablation,seed,missing_rate,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
TimesNet,beijing_aotizhongxin,full,4,0.05,3448,2,4.458404064178467,8.328011512756348,2.701636791229248,3.527541160583496,11.807276725769045,15.821650505065918,2.6390252113342285,3.7007744312286377,0.685677707195282,0.9794069528579712
TimesNet,beijing_aotizhongxin,full,4,0.1,3448,2,4.459134578704834,8.329190254211426,2.69800066947937,3.5237579345703125,11.811405181884766,15.824413299560549,2.640922784805298,3.703001022338867,0.6862120032310486,0.9800620675086976
TimesNet,beijing_aotizhongxin,full,4,0.2,3448,2,4.466089725494385,8.339648246765137,2.692361354827881,3.516695737838745,11.834774017333984,15.845579147338867,2.6497645378112793,3.712918281555176,0.6874581575393677,0.981639564037323
Transformer,beijing_aotizhongxin,full,0,0.0,3448,2,5.041987419128418,9.110721588134766,3.622581243515014,4.587705135345459,12.838058471679688,17.160390853881836,3.0142505168914795,3.939940929412842,0.693058967590332,0.9858333468437196
Transformer,beijing_aotizhongxin,full,0,0.05,3448,2,5.044118404388428,9.116147994995115,3.6220133304595943,4.588436603546143,12.846020698547363,17.171279907226562,3.0154054164886475,3.941839456558227,0.6930310726165771,0.9858741164207458
Transformer,beijing_aotizhongxin,full,0,0.1,3448,2,5.043976783752441,9.117424964904783,3.6191349029541016,4.58599328994751,12.850074768066406,17.174901962280273,3.0135743618011475,3.940695285797119,0.6931225657463074,0.9859296083450316
Transformer,beijing_aotizhongxin,full,0,0.2,3448,2,5.04557991027832,9.122225761413574,3.6183407306671143,4.587732791900635,12.854597091674805,17.184118270874023,3.015805721282959,3.942793846130371,0.693574845790863,0.986503541469574
Transformer,beijing_aotizhongxin,full,1,0.0,3448,2,4.984419822692871,8.918450355529785,3.4539618492126465,4.529514312744141,12.643915176391602,16.736894607543945,3.149296283721924,4.069119930267334,0.6905048489570618,0.9782885909080504
Transformer,beijing_aotizhongxin,full,1,0.05,3448,2,4.983177661895752,8.919100761413574,3.45235276222229,4.528377532958984,12.64110279083252,16.73879623413086,3.148688793182373,4.068202018737793,0.6905689239501953,0.9786298871040344
Transformer,beijing_aotizhongxin,full,1,0.1,3448,2,4.988056182861328,8.928174018859863,3.452681303024292,4.530196189880371,12.655841827392578,16.757028579711914,3.152820587158203,4.070614337921143,0.6908816695213318,0.9790779948234558
Transformer,beijing_aotizhongxin,full,1,0.2,3448,2,4.993075847625732,8.942811012268066,3.453862428665161,4.535706520080566,12.672319412231444,16.7858829498291,3.1548755168914795,4.073937892913818,0.6912438273429871,0.9798113107681274
Transformer,beijing_aotizhongxin,full,2,0.0,3448,2,4.982868194580078,8.933188438415527,3.5711817741394043,4.511004447937012,12.63681411743164,16.790206909179688,3.040330648422241,4.001046180725098,0.6831449270248413,0.9689483046531676
Transformer,beijing_aotizhongxin,full,2,0.05,3448,2,4.98499870300293,8.939071655273438,3.57059645652771,4.510150909423828,12.643048286437988,16.802181243896484,3.042757034301758,4.004153728485107,0.6835953593254089,0.9695348739624025
Transformer,beijing_aotizhongxin,full,2,0.1,3448,2,4.985282897949219,8.939497947692871,3.570077657699585,4.509822845458984,12.643939018249512,16.802959442138672,3.043383836746216,4.0049967765808105,0.6837321519851685,0.969832181930542
Transformer,beijing_aotizhongxin,full,2,0.2,3448,2,4.989124298095703,8.95332145690918,3.5649254322052,4.50782585144043,12.663911819458008,16.832082748413086,3.043757915496826,4.0083770751953125,0.6839020252227783,0.9701994061470032
Transformer,beijing_aotizhongxin,full,3,0.0,3448,2,4.93124532699585,9.112558364868164,3.3584165573120117,4.456291198730469,12.743125915527344,17.212766647338867,2.9331090450286865,3.881158590316773,0.6903297305107117,0.9765334725379944
Transformer,beijing_aotizhongxin,full,3,0.05,3448,2,4.9344868659973145,9.11633014678955,3.3610551357269287,4.459009170532227,12.75017547607422,17.219614028930664,2.936133861541748,3.8830316066741943,0.6905791759490967,0.9767874479293824
Transformer,beijing_aotizhongxin,full,3,0.1,3448,2,4.938657283782959,9.125508308410645,3.360551357269287,4.459132671356201,12.764610290527344,17.23860740661621,2.9384605884552,3.884673357009888,0.6910057067871094,0.9774863719940186
Transformer,beijing_aotizhongxin,full,3,0.2,3448,2,4.943291187286377,9.127569198608398,3.368319272994995,4.46974515914917,12.7691011428833,17.238353729248047,2.944419860839844,3.892930507659912,0.6913256049156189,0.9776077270507812
Transformer,beijing_aotizhongxin,full,4,0.0,3448,2,4.9279398918151855,8.701398849487305,3.463869094848633,4.357316493988037,12.40987491607666,16.322113037109375,3.138622522354126,4.062613487243652,0.699391782283783,0.9772493839263916
Transformer,beijing_aotizhongxin,full,4,0.05,3448,2,4.928439140319824,8.702670097351074,3.4598963260650635,4.353404998779297,12.41603183746338,16.325969696044922,3.1382687091827393,4.062198162078857,0.6995619535446167,0.9772742986679076
Transformer,beijing_aotizhongxin,full,4,0.1,3448,2,4.9297919273376465,8.704540252685547,3.457942008972168,4.352143287658691,12.42251968383789,16.33004379272461,3.138948440551758,4.063135623931885,0.6997563242912292,0.977550446987152
Transformer,beijing_aotizhongxin,full,4,0.2,3448,2,4.9332685470581055,8.709589958190918,3.454395055770874,4.3498759269714355,12.43106746673584,16.33901596069336,3.147976875305176,4.072812557220459,0.6996386647224426,0.9773662090301514
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.0,3448,2,4.188685894012451,8.265629768371582,2.059526205062866,2.694307327270508,11.748005867004396,15.970358848571776,2.2804741859436035,3.1765801906585693,0.6667388677597046,0.938218355178833
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.05,3448,2,4.194155693054199,8.273889541625977,2.060565948486328,2.6954233646392822,11.762327194213867,15.986071586608888,2.2863290309906006,3.182434320449829,0.667400598526001,0.9388076663017272
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.1,3448,2,4.200263500213623,8.286901473999023,2.0632266998291016,2.6988980770111084,11.777052879333496,16.011388778686523,2.2923402786254883,3.187269449234009,0.6684324741363525,0.9399976134300232
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.2,3448,2,4.217167854309082,8.309100151062012,2.068538188934326,2.7050156593322754,11.8202486038208,16.05255699157715,2.309598684310913,3.2053651809692383,0.6702855229377747,0.942601203918457
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.0,3448,2,4.188394069671631,8.240245819091797,2.0711562633514404,2.6294264793395996,11.773611068725586,15.941659927368164,2.2452986240386963,3.108729362487793,0.6635088920593262,0.944469153881073
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.05,3448,2,4.196261405944824,8.254700660705566,2.0730645656585693,2.6309750080108643,11.795551300048828,15.96982765197754,2.2521674633026123,3.1159257888793945,0.6642630696296692,0.9454455971717834
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.1,3448,2,4.20941686630249,8.283506393432617,2.076375961303711,2.6337027549743652,11.835528373718262,16.027048110961914,2.2605085372924805,3.125257730484009,0.6652572154998779,0.94661545753479
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.2,3448,2,4.2359538078308105,8.32911491394043,2.0818355083465576,2.639639377593994,11.914118766784668,16.11573028564453,2.280531644821167,3.148216009140014,0.6673329472541809,0.949162781238556
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.0,3448,2,4.1523756980896,8.2020845413208,2.0203559398651123,2.6358587741851807,11.70975399017334,15.86049461364746,2.2198731899261475,3.1154465675354004,0.6595165729522705,0.9421747326850892
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.05,3448,2,4.158851146697998,8.210565567016602,2.022434711456299,2.638139247894287,11.726113319396973,15.876497268676758,2.2263383865356445,3.121042013168335,0.6605193018913269,0.9432359337806702
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.1,3448,2,4.165463447570801,8.217555046081543,2.0265724658966064,2.641242742538452,11.742258071899414,15.88913345336914,2.2322630882263184,3.1276254653930664,0.6607585549354553,0.9434030055999756
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.2,3448,2,4.184881687164307,8.243901252746582,2.0359065532684326,2.6492652893066406,11.789833068847656,15.938848495483398,2.2509095668792725,3.144601821899414,0.6628800630569458,0.9453303217887878
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.0,3448,2,4.11160945892334,8.247673988342285,1.969527006149292,2.5637006759643555,11.572188377380373,15.966496467590332,2.2337429523468018,3.113121747970581,0.670981228351593,0.9504876732826232
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.05,3448,2,4.117256164550781,8.249960899353027,1.973821043968201,2.56839370727539,11.58250904083252,15.969232559204102,2.241248846054077,3.1193487644195557,0.6714447140693665,0.9508206248283386
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.1,3448,2,4.126716136932373,8.261411666870117,1.977698564529419,2.572088718414306,11.607747077941896,15.990750312805176,2.2493746280670166,3.1270320415496826,0.6720442771911621,0.951680302619934
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.2,3448,2,4.151008605957031,8.302430152893066,1.9851763248443604,2.5792603492736816,11.675735473632812,16.070491790771484,2.2691168785095215,3.14620304107666,0.6740059852600098,0.9536738991737366
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.0,3448,2,4.109543800354004,8.142250061035156,1.968926787376404,2.5912108421325684,11.529082298278809,15.73628044128418,2.2650468349456787,3.149211883544922,0.6751188039779663,0.9605141282081604
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.05,3448,2,4.117155075073242,8.151493072509766,1.9713084697723389,2.593104839324951,11.553082466125488,15.75409698486328,2.2690398693084717,3.1542577743530273,0.6751884818077087,0.9603762626647948
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.1,3448,2,4.124566078186035,8.16598892211914,1.9743200540542605,2.5953619480133057,11.575610160827637,15.78292465209961,2.2726244926452637,3.158081531524658,0.6757078766822815,0.960937798023224
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.2,3448,2,4.148322105407715,8.205820083618164,1.9787588119506836,2.6000165939331055,11.643614768981934,15.859851837158203,2.2933590412139893,3.1810531616210938,0.6775525212287903,0.9632098078727722
iTransformer,beijing_aotizhongxin,full,0,0.0,3448,2,4.255542755126953,8.241849899291992,2.0436105728149414,2.690528154373169,11.525236129760742,15.77968692779541,2.7389020919799805,3.803936719894409,0.7144225239753723,1.0024749040603638
iTransformer,beijing_aotizhongxin,full,0,0.05,3448,2,4.26270055770874,8.25259017944336,2.0454764366149902,2.692157745361328,11.546700477600098,15.800573348999023,2.743101119995117,3.808804035186768,0.7155236601829529,1.0040556192398071
iTransformer,beijing_aotizhongxin,full,0,0.1,3448,2,4.269420623779297,8.26632022857666,2.047568082809448,2.694133043289185,11.567304611206056,15.828328132629396,2.745999336242676,3.810924768447876,0.7168116569519043,1.0053573846817017
