model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,norm_variant,width,bl_d_model,bl_d_ff
PatchTST,jena,full,0,0.0,1657880.0,1253.5,9.78,0.1636069505816617,20.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.348778486251831,5.666333198547363,32.10733413696289,23.05392074584961,0.634141743183136,2.3700168132781982,3.0781569480896,7.757140159606934,10.287006378173828,11.258861541748049,2.362262725830078,3.390420198440552,0.2387089431285858,0.9056953191757202,1.279385685920715,1.1963624954223633,2.0140671730041504,2.8517329692840576,4.967047214508057,3.5946686267852783,5.984552383422852,4.147608757019043,6.556916236877441,0.6903251126450005,0.1888677823479544,0.9986718133897812,0.3176600281208536,0.9698054202758936,0.722523578565715,0.0721796807592752,off,default,,
PatchTST,jena,full,1,0.0,1657880.0,1064.3,9.78,0.1631862324968263,17.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.361766576766968,5.62147331237793,31.600963592529297,23.357711791992188,0.63694167137146,2.3423240184783936,3.024127244949341,7.802710056304932,10.20224952697754,11.477242469787598,2.391928672790528,3.3965067863464355,0.2415950447320938,0.9101030826568604,1.2791920900344849,1.441102385520935,2.366481304168701,2.886668920516968,4.990747451782227,3.600540399551392,5.928234100341797,4.130932331085205,6.474508762359619,0.6799623717764356,0.1839477403827787,0.9992944008633212,0.3107021641781414,0.9685134372676136,0.6966627831512439,0.0721796807592752,off,default,,
PatchTST,jena,full,2,0.0,1657880.0,1126.1,9.91,0.1640287805853951,18.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3363850116729736,5.627615451812744,31.67005729675293,23.146577835083008,0.6345593333244324,2.356196880340576,3.049790859222412,7.751118183135986,10.210160255432127,11.484868049621582,2.3290486335754395,3.388082981109619,0.2353352755308151,0.9091743230819702,1.2854934930801392,1.2313413619995115,2.0733492374420166,2.810719013214112,4.945288181304932,3.590965986251831,5.97288179397583,4.165200233459473,6.529119968414307,0.6871824369667338,0.1873155768018,0.9985888017266424,0.3154575373359382,0.968329420026393,0.7099720032642883,0.0721796807592752,off,default,,
PatchTST,jena,full,3,0.0,1657880.0,1313.3,9.77,0.1639704373769865,21.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.373144149780273,5.670261859893799,32.1518669128418,23.087139129638672,0.634307861328125,2.4133007526397705,3.118072271347046,7.806767463684082,10.28264045715332,11.585819244384766,2.378558874130249,3.394914627075196,0.2403407543897628,0.8939477205276489,1.2755169868469238,1.2667874097824097,2.115441083908081,2.8570051193237305,4.960875034332275,3.642178058624268,6.02724027633667,4.189842224121094,6.571852207183838,0.691685241108235,0.1894992278844032,0.9982982609056572,0.31853367501672,0.969753492721208,0.7184838149407426,0.0721796807592752,off,default,,
PatchTST,jena,full,4,0.0,1657880.0,1318.3,9.77,0.1613511698887705,21.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.318344593048096,5.589601516723633,31.2436466217041,23.147544860839844,0.6395775079727173,2.3125646114349365,2.993756055831909,7.649357318878174,10.146037101745604,11.325361251831056,2.402860879898072,3.382004737854004,0.2427161186933517,0.908592700958252,1.2774920463562012,1.285880446434021,2.1066248416900635,2.831917285919189,4.918434143066406,3.5216424465179443,5.881589889526367,4.167240619659424,6.52041482925415,0.684650920333621,0.1860961574160015,0.998630307558212,0.313728558296008,0.9695034780462624,0.7022256910388149,0.0721796807592752,off,default,,
iTransformer,jena,full,0,0.0,1611032.0,93.0,1.89,0.1656628148283025,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.284722328186035,5.580830097198486,31.145666122436523,23.097579956054688,0.6282824277877808,2.264348268508911,2.9895644187927246,7.519631862640381,10.089692115783691,10.73441219329834,2.439592361450196,3.481997013092041,0.2465188056230545,0.9153162837028505,1.311079978942871,1.225072145462036,2.10110855102539,2.763400316238404,4.866652011871338,3.4938535690307617,5.814234733581543,4.166914463043213,6.605464935302734,0.6788838558143994,0.1833901069172325,0.9988378367160586,0.3098843647789023,0.9685951149635954,0.6999931814318265,0.0721796807592752,off,default,,
iTransformer,jena,full,1,0.0,1611032.0,84.6,1.9,0.1649260932819324,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.294367790222168,5.539913654327393,30.690645217895508,23.038652420043945,0.6292508840560913,2.267205238342285,2.984600067138672,7.471390247344971,9.967605590820312,10.818048477172852,2.5206868648529053,3.576483249664306,0.2546788454055786,0.9181880950927734,1.3078134059906006,1.2685706615447998,2.150021553039551,2.7316739559173584,4.796730995178223,3.543118715286255,5.807243824005127,4.171341419219971,6.567865371704102,0.6742162784009204,0.181324679822613,0.9995849416843068,0.3069657765598113,0.9699948208957992,0.7104087238140294,0.0721796807592752,off,default,,
iTransformer,jena,full,2,0.0,1611032.0,100.7,1.93,0.1664018129221106,13.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.2913599014282227,5.570847034454346,31.03433609008789,23.26304626464844,0.6227054595947266,2.367616891860962,3.1198322772979736,7.45952033996582,10.034393310546877,10.700139045715332,2.420874834060669,3.458216667175293,0.2446136176586151,0.9174318313598632,1.3250133991241455,1.3012741804122925,2.128945589065552,2.7774040699005127,4.8611979484558105,3.516826629638672,5.84353494644165,4.159468650817871,6.560385704040527,0.6890368852459017,0.1881787737473005,0.9982152492425186,0.316661948557246,0.9689738624614236,0.7093373487954064,0.0721796807592752,off,default,,
iTransformer,jena,full,3,0.0,1611032.0,100.0,1.89,0.1658587474502968,13.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.288860559463501,5.544004440307617,30.735984802246097,23.346046447753903,0.6274569630622864,2.3702213764190674,3.113231897354126,7.475218296051025,9.984397888183594,10.68601131439209,2.393471956253052,3.440324306488037,0.2418210059404373,0.916532814502716,1.3144333362579346,1.2995654344558716,2.202397346496582,2.7592341899871826,4.829346179962158,3.5142979621887207,5.823744773864746,4.178576469421387,6.549490451812744,0.6853968938740294,0.1865184209506837,0.9991698833686132,0.3143551104088588,0.9687423802604226,0.7045193276304179,0.0721796807592752,off,default,,
iTransformer,jena,full,4,0.0,1611032.0,90.8,1.9,0.1659682505151607,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3150885105133057,5.570310592651367,31.02836227416992,23.29065704345703,0.626778781414032,2.388683795928955,3.149010181427002,7.544440746307373,10.033062934875488,11.01153564453125,2.404216289520264,3.437454462051392,0.2429142147302627,0.9230127930641174,1.3110239505767822,1.2708451747894287,2.13569450378418,2.7496354579925537,4.793519496917725,3.529745578765869,5.837994575500488,4.219437599182129,6.564601898193359,0.6816280797622472,0.184790530329183,0.9997924708421532,0.3119277935330147,0.9697058252573464,0.7135115616508633,0.0721796807592752,off,default,,
