dataset,model,ablation,suffix,seed,base_mae,det_gain_occl,det_gain_occl_rel,det_gain_shap,det_gain_shap_rel,det_agree_shap_occl_rho,det_gain_attn,det_gain_attn_rel,det_agree_attn_shap_rho,det_agree_attn_occl_rho
jena,Informer,full,,0,0.39945245,0.06056870039956023,0.15162931,0.054936305102271335,0.13752902,0.8428571428571429,,,,
jena,Informer,full,,1,0.40632105,0.06041775513564546,0.14869462,0.0538189684053262,0.13245429,0.8821428571428571,,,,
jena,Informer,full,,2,0.40838948,0.06261739221339425,0.15332763,0.0588374980998536,0.14407203,0.6321428571428571,,,,
jena,Informer,full,,3,0.42515397,0.048667707265820356,0.11447078,0.04598613052582369,0.108163476,0.6892857142857142,,,,
jena,Informer,full,,4,0.4054242,0.06515207450433323,0.16070099,0.061479240391092996,0.15164176,0.825,,,,
jena,LSTM,full,_normoff,0,0.39111164,0.06189585693056384,0.15825625,0.052184670994679126,0.13342653,0.7392857142857142,,,,
jena,LSTM,full,_normoff,1,0.3901154,0.06658979766520984,0.17069255,0.06319574732783563,0.16199245,0.8785714285714284,,,,
jena,LSTM,full,_normoff,2,0.39227793,0.05920297915845489,0.150921,0.06021392850934839,0.15349813,0.907142857142857,,,,
jena,LSTM,full,_normoff,3,0.4010504,0.05912337884167211,0.14742132,0.05646605066815393,0.1407954,0.7964285714285713,,,,
jena,LSTM,full,_normoff,4,0.38881928,0.05858028392322984,0.15066198,0.05504505625941482,0.14156978,0.8821428571428571,,,,
jena,PatchTST,full,,0,0.43041772,0.10430574539753919,0.24233608,0.09939398742917305,0.23092447,0.988235294117647,,,,
jena,PatchTST,full,,1,0.4272658,0.10408683785656465,0.24361145,0.10047033601859585,0.23514715,0.9941176470588236,,,,
jena,PatchTST,full,,2,0.43085083,0.10333766664471478,0.23984557,0.09849231249745935,0.22859956,0.988235294117647,,,,
jena,PatchTST,full,,3,0.4309257,0.10272085822249452,0.23837255,0.09971730313325922,0.23140255,0.9941176470588236,,,,
jena,PatchTST,full,,4,0.4229889,0.10591712599449479,0.25040168,0.10075972994618738,0.23820892,0.988235294117647,,,,
jena,TFT,full,,0,0.409036,0.09386614411215607,0.22948138,0.09046006671230619,0.22115429,0.8357142857142855,,,,
jena,TFT,full,,1,0.4146978,0.09069971405838925,0.2187128,0.08500535526250799,0.20498146,0.9035714285714285,,,,
jena,TFT,full,,2,0.42167458,0.09721718486739946,0.23055027,0.09255518153651307,0.21949433,0.6428571428571428,,,,
jena,TFT,full,,3,0.40049165,0.10366788091200094,0.25885153,0.09442592168288926,0.23577501,0.8035714285714284,,,,
jena,TFT,full,,4,0.41855112,0.09337969733433177,0.22310226,0.05859350884364297,0.13999128,0.7499999999999999,,,,
jena,TimesNet,full,,0,0.40697283,0.10629373030643907,0.26118138,0.09571478111576287,0.23518714,0.5607142857142856,,,,
jena,TimesNet,full,,1,0.4118015,0.10232496852163846,0.2484813,0.08014704926048094,0.19462545,0.5535714285714285,,,,
jena,TimesNet,full,,2,0.40824336,0.1025551292222614,0.25121078,0.08304483260183283,0.20341992,0.6749999999999999,,,,
jena,TimesNet,full,,3,0.40652624,0.10170339334119731,0.2501767,0.0899594888772505,0.22128826,0.3142857142857143,,,,
jena,TimesNet,full,,4,0.40835372,0.11020556351790826,0.2698777,0.07739395663763088,0.18952677,0.7607142857142856,,,,
jena,Transformer,full,,0,0.40838996,0.05205331642289335,0.12745984,0.05045359239090854,0.12354269,0.7178571428571427,,,,
jena,Transformer,full,,1,0.40059644,0.061173877890997874,0.152707,0.057585628542893876,0.14374973,0.8178571428571428,,,,
jena,Transformer,full,,2,0.4220066,0.04463124541829651,0.10575959,0.04030135205279415,0.095499344,0.7928571428571427,,,,
jena,Transformer,full,,3,0.41908127,0.056348769477568575,0.13445786,0.049448910093866295,0.11799361,0.8642857142857141,,,,
jena,Transformer,full,,4,0.40555468,0.062680967607225,0.15455614,0.05005405870142084,0.12342123,0.5928571428571427,,,,
jena,XAI-MeteoFormer,no_revin,,0,0.37420958,0.0813185892884309,0.2173076,0.08192229511930296,0.21892089,0.7392857142857142,0.00041440632908293915,0.0011074177455157042,0.46071428571428563,0.4928571428571427
jena,XAI-MeteoFormer,no_revin,,1,0.38194957,0.08207893652639661,0.21489468,0.07855768019131694,0.20567553,0.6642857142857141,-0.03582960201629128,-0.093807153403759,0.1964285714285714,-0.2964285714285714
jena,XAI-MeteoFormer,no_revin,,2,0.3746979,0.0804453344233334,0.21469386,0.07659542049840093,0.20441914,0.8357142857142855,0.022160638548433774,0.05914268270134926,0.8464285714285712,0.6714285714285713
jena,XAI-MeteoFormer,no_revin,,3,0.3807577,0.0766214403694806,0.20123413,0.07834442103266095,0.20575926,0.9535714285714283,0.026398101243966576,0.06933044642210007,0.7999999999999999,0.8142857142857142
jena,XAI-MeteoFormer,no_revin,,4,0.38143638,0.07943244392890483,0.20824559,0.076377311934717,0.20023604,0.6357142857142856,0.009449202501215037,0.024772683158516884,0.11785714285714284,0.1714285714285714
jena,XAI-MeteoFormer,no_revin+no_entropy,,0,0.37942594,0.08272862937441096,0.21803631,0.07846855130186305,0.20680861,0.825,0.03658185321977362,0.09641367942094803,0.0035714285714285704,0.33928571428571425
jena,XAI-MeteoFormer,no_revin+no_entropy,,1,0.38437527,0.07906092487446344,0.20568682,0.07699809678069627,0.20032011,0.7392857142857142,0.043475599476912374,0.11310716718435287,0.125,0.12857142857142856
jena,XAI-MeteoFormer,no_revin+no_entropy,,2,0.3702879,0.08169915757328271,0.22063684,0.07967454276233911,0.21516918,0.8821428571428571,0.054160946860909456,0.1462671160697937,0.5607142857142856,0.7428571428571428
jena,XAI-MeteoFormer,no_revin+no_entropy,,3,0.38095436,0.07663604794427133,0.20116858,0.07470796620830274,0.19610739,0.6964285714285713,0.004881184868359323,0.012813044711947441,0.47142857142857136,0.6857142857142856
jena,XAI-MeteoFormer,no_revin+no_entropy,,4,0.39325958,0.07382545788275699,0.18772703,0.07244289424705008,0.18421139,0.8964285714285712,0.05792223848837117,0.1472875475883484,0.34642857142857136,0.4428571428571427
jena,XAI-MeteoFormer,full,,0,0.40268618,0.10545890706032515,0.26188856,0.09887716392427684,0.24554397,0.7142857142857142,0.058565048113465315,0.14543594419956207,0.7857142857142856,0.39642857142857135
jena,XAI-MeteoFormer,full,,1,0.40188226,0.10537213716159263,0.26219654,0.09839565507570902,0.24483702,0.575,0.025332980318615826,0.06303582340478897,0.7749999999999999,0.3571428571428571
jena,XAI-MeteoFormer,full,,2,0.39907256,0.09421425791938479,0.23608303,0.08660202404965336,0.21700822,0.6249999999999999,0.08512364918847258,0.21330370008945465,0.9035714285714285,0.5928571428571427
jena,XAI-MeteoFormer,full,,3,0.3988769,0.10723878536885603,0.26885182,0.09826251037931069,0.24634796,0.6321428571428571,0.08735363930976017,0.218998983502388,0.8321428571428571,0.6464285714285712
jena,XAI-MeteoFormer,full,,4,0.40212828,0.10842363847962892,0.2696245,0.09994950200042999,0.2485513,0.6214285714285712,0.10702361943743503,0.26614299416542053,0.8964285714285712,0.5785714285714285
jena,iTransformer,full,,0,0.4212439,0.11019981580444922,0.2616057,0.10297688233324638,0.24445903,0.7071428571428571,,,,
jena,iTransformer,full,,1,0.42608434,0.10693263044627384,0.2509659,0.09924727188469842,0.2329287,0.8535714285714284,,,,
jena,iTransformer,full,,2,0.42610282,0.10950990381604062,0.25700346,0.10380600268905985,0.24361727,0.7142857142857142,,,,
jena,iTransformer,full,,3,0.42256206,0.11075503305966657,0.2621036,0.10488989313567679,0.24822363,0.7428571428571428,,,,
jena,iTransformer,full,,4,0.42982078,0.10734121436097968,0.24973482,0.1015126029200231,0.23617426,0.8999999999999999,,,,
beijing_aotizhongxin,Autoformer,full,_normon,0,0.37428838,0.03080559477975059,0.08230444,0.026001355953714146,0.06946878,0.6967032967032967,,,,
beijing_aotizhongxin,Autoformer,full,_normon,1,0.37969005,0.034473839163713695,0.09079469,0.03017370107018257,0.07946929,0.6835164835164835,,,,
beijing_aotizhongxin,Autoformer,full,_normon,2,0.3773022,0.025608383796310842,0.06787234,0.022847105029172123,0.06055386,0.5252747252747253,,,,
beijing_aotizhongxin,Autoformer,full,_normon,3,0.3752485,0.026576968984279248,0.07082499,0.024579950602326005,0.06550313,0.5824175824175825,,,,
beijing_aotizhongxin,Autoformer,full,_normon,4,0.37828958,0.026816197836971166,0.07088802,0.025150682067698125,0.06648526,0.3538461538461538,,,,
beijing_aotizhongxin,Crossformer,full,,0,0.30815166,0.06061190068954603,0.19669503,0.05543116729939357,0.17988275,0.9340659340659341,,,,
beijing_aotizhongxin,Crossformer,full,,1,0.31034502,0.05221615983805219,0.16825196,0.04805862719825069,0.15485549,0.8153846153846154,,,,
beijing_aotizhongxin,Crossformer,full,,2,0.3008019,0.06287164122997116,0.20901345,0.05741214565200996,0.19086364,0.7714285714285714,,,,
beijing_aotizhongxin,Crossformer,full,,3,0.2943249,0.05299780163381781,0.18006563,0.04887021282155599,0.16604172,0.8021978021978022,,,,
