model,dataset,ablation,seed,variant,block_len,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Crossformer,jena,full,1,none,16,2782,5,3.1055712699890137,5.198526382446289,2.5487585067749023,3.2871925830841064,6.905019760131836,9.27993869781494,2.1370983123779297,3.1131019592285156,0.8314071893692017,1.2183570861816406
Crossformer,jena,full,1,A_end,16,2782,5,4.968961238861084,7.84441614151001,3.8566973209381104,4.93604040145874,10.597148895263672,13.68300437927246,4.392971992492676,5.694187641143799,1.029024600982666,1.4582823514938354
Crossformer,jena,full,1,B_start,16,2782,5,3.126953125,5.228786468505859,2.5801291465759277,3.312580823898315,6.955341339111328,9.337163925170898,2.140840530395508,3.1173033714294434,0.8315033912658691,1.2195978164672852
Crossformer,jena,full,2,none,16,2782,5,3.1356711387634277,5.180815696716309,2.605387926101685,3.197275876998902,6.858780860900879,9.244197845458984,2.2484023571014404,3.1965408325195312,0.8301112055778503,1.2115068435668943
Crossformer,jena,full,2,A_end,16,2782,5,4.9322190284729,7.7385101318359375,3.814045190811157,4.74978494644165,10.529223442077637,13.524799346923828,4.370907783508301,5.653531551361084,1.0146973133087158,1.4474118947982788
Crossformer,jena,full,2,B_start,16,2782,5,3.1571240425109863,5.218957424163818,2.6100404262542725,3.2012147903442383,6.940217971801758,9.327764511108398,2.247781991958618,3.197976589202881,0.8304541110992432,1.2116267681121826
Crossformer,jena,full,3,none,16,2782,5,3.1031103134155273,5.141911506652832,2.5198254585266113,3.1299898624420166,6.961837291717529,9.2300386428833,2.083796501159668,3.0546798706054688,0.8469848036766052,1.1981278657913208
Crossformer,jena,full,3,A_end,16,2782,5,4.901659965515137,7.736470699310303,3.6142523288726807,4.532677173614502,10.582098007202148,13.589630126953123,4.360496520996094,5.661435127258301,1.0497936010360718,1.4617931842803955
Crossformer,jena,full,3,B_start,16,2782,5,3.123322010040283,5.168955326080322,2.5410280227661133,3.149123191833496,7.0154194831848145,9.282435417175291,2.0889031887054443,3.05782699584961,0.8479399085044861,1.2006242275238037
Crossformer,jena,full,4,none,16,2782,5,3.123711585998535,5.175003528594971,2.623115301132202,3.240736246109009,6.9411540031433105,9.254109382629396,2.099495649337769,3.085134744644165,0.8310794234275818,1.209826946258545
Crossformer,jena,full,4,A_end,16,2782,5,4.919938564300537,7.687535762786865,3.749927759170532,4.639024257659912,10.470610618591309,13.40317726135254,4.445523738861084,5.758675575256348,1.01369047164917,1.4369354248046875
Crossformer,jena,full,4,B_start,16,2782,5,3.143667459487915,5.201125621795654,2.636927604675293,3.247974395751953,7.003687858581543,9.309024810791016,2.1021299362182617,3.0872135162353516,0.8319237232208252,1.2118889093399048
DLinear,jena,full,0,none,16,2782,5,3.421058416366577,5.756481170654297,2.121896982192993,2.8011398315429688,7.711975574493408,10.329111099243164,2.9207229614257812,4.039531707763672,0.9296388626098632,1.301371932029724
DLinear,jena,full,0,A_end,16,2782,5,5.591352939605713,9.133552551269531,3.6162109375,4.605511665344238,13.06075954437256,16.61747932434082,4.423323154449463,5.773130416870117,1.2651166915893557,1.733994960784912
