dataset,model,seed,a_val_T,a_oracle_T,sd_ratio_T,MSE_T_before,MSE_T_after,a_val_RH,a_oracle_RH,sd_ratio_RH,MSE_RH_before,MSE_RH_after,a_val_P,a_oracle_P,sd_ratio_P,MSE_P_before,MSE_P_after,a_val_WS,a_oracle_WS,sd_ratio_WS,MSE_WS_before,MSE_WS_after,MAE_before,MAE_after,RMSE_before,RMSE_after
jena,LSTM,0,0.7864273053934866,0.9366656805518145,0.9921565325938624,11.881709725133609,11.356921512139612,0.9370661404875497,0.9305915973526507,0.8597642404429174,96.01585386776036,95.11462318341572,0.9892254209817041,1.0168354180735844,0.8981065556450435,11.467027631418171,11.498648491716153,1.1094898007862348,1.0406152437063951,0.5510564026196538,1.4765980442124507,1.4805085491084202,3.364834139363884,3.3579313759955722,5.49638948011612,5.464675235921617
jena,LSTM,1,0.7851281652326432,0.9147301080857625,1.021726878653898,11.324640128672682,10.299546283760893,0.909774183480875,0.8919000495268544,0.9082717360084643,93.43794721222046,90.89232848276846,0.9639026468037103,0.9842375785178159,0.9295554301870803,11.22499322686961,11.24510460566818,1.0747177543430062,1.0149076433405497,0.56532097420645,1.4725077195503575,1.475727142573165,3.301168218046888,3.2718921973178596,5.418950273976341,5.336494788594163
jena,LSTM,2,0.7737374455781335,0.9242087752907111,1.007223673659334,12.130559324218273,11.303896749007086,0.9625263614231652,0.9481322981173825,0.8576624029313072,90.08969426456353,89.5679504019401,0.9904832790965407,1.0082730448579125,0.9102531965032717,11.075464109427626,11.094363469136542,1.110275801417962,1.0594604523615452,0.5443963713706322,1.4661891281720585,1.4669170532041926,3.312461403531754,3.2828151833071657,5.35634919572981,5.325249470055086
jena,LSTM,3,0.8005659996801869,0.9403641581675748,0.9969666220379029,11.419279518768528,10.591161139071191,0.9597135955531153,0.9545907591473314,0.8446732459549644,92.82985062147594,92.4359005293934,0.993528802768329,1.010193763602536,0.9025176208780055,11.666823960959494,11.678829919186565,1.1294146363951878,1.0886286940103949,0.5233437759681252,1.4806627844396827,1.4779207870225275,3.352979691470079,3.3275384037182536,5.41748596873226,5.389429755889617
jena,LSTM,4,0.7795651216099442,0.9314850608764531,1.0042002422991458,10.353081223130218,10.175610626243799,0.9577839294060795,0.9316560966341747,0.8685413292100786,92.1617558360464,91.40985914607717,0.9916186729763116,1.0245572921182045,0.8941695720575169,10.993162777170017,11.019079990991132,1.1050523776193024,1.050158153459895,0.5447127016501992,1.4739173082669639,1.4755725059198268,3.2517639945225594,3.2474633679784715,5.36148107206893,5.340414831013407
jena,PatchTST,0,0.8810254872373666,0.9263320449663776,1.0133289587705403,9.475049135972759,8.48705976150922,0.9282717291718142,0.9367267444533615,0.8293722762676144,105.82251304483255,104.90701870187267,0.9629798521551386,0.9674605308147738,0.9430247696692637,11.494946711497915,11.430925858884043,0.7975444657856811,0.8381848960313325,0.6112801962198461,1.6368276592500883,1.614936259087223,3.3487785762284448,3.346159351819888,5.666333394523155,5.622275797694228
jena,PatchTST,1,0.9133604956779299,0.952461945740618,0.9825795455017882,9.145346219879283,8.635389331964792,0.9758533695132108,0.9939118037477757,0.78335773659802,104.08589086769612,104.11023324013591,0.9555957653732193,0.9764814056341566,0.9340343743734411,11.536258677272338,11.542386919610626,0.8307027730749724,0.8741977264705906,0.5809033756841362,1.6363322928920645,1.624758998577717,3.3617664187419294,3.3679070986928945,5.62147285099154,5.610542943652802
jena,PatchTST,2,0.8920741552303422,0.9341409158703844,1.0046716204036406,9.301224975811966,8.462431697728267,0.9821723874520267,0.9923368047441585,0.7841962373027026,104.24736885655336,104.2742926714142,0.91896557205435,0.9320956465057033,0.9813759181626791,11.47910417908784,11.214759989396024,0.7526895465552501,0.822688477446653,0.6164231790861651,1.6524932870949123,1.6282975943716733,3.336384587013788,3.3267216649564992,5.627614754461877,5.6031192641445315
jena,PatchTST,3,0.8855916661930897,0.9214608826601167,1.01894301268466,9.722373275631057,8.568683216437197,0.9706601592707783,0.9849682893052111,0.786597878303333,105.73271172377886,105.77973909338571,0.9567218840694844,0.9792383273829622,0.9317937874530082,11.52544631493522,11.51512136553247,0.8179721446346816,0.8657511750106277,0.6030626943850301,1.6269437777203124,1.6115029367770897,3.373143862167306,3.3557168807279463,5.670261790518702,5.645242390990231
jena,PatchTST,4,0.9055232879986891,0.9465480371836247,0.9913037717616339,8.962573729734496,8.366597974767105,0.9603266975883658,0.9724118279073186,0.8039884710151738,102.942049591155,102.91595972087244,0.9612468658977273,0.984610273636429,0.9266454533344942,11.437958562235258,11.457361651356461,0.8124875441687769,0.8578658186583228,0.5963166221744001,1.6319858841037365,1.6163585622934296,3.3183438314543783,3.3260049394923845,5.589601232807859,5.575757300790842
