model,dataset,ckpt,attn_entropy,base_mae,n_channels_scored,exclude_time,fidelity_gain,fidelity_gain_rel,stab_rho_0.01,stab_cos_0.01,stab_top5_0.01,stab_rho_0.05,stab_cos_0.05,stab_top5_0.05,stab_rho_0.1,stab_cos_0.1,stab_top5_0.1,agree_attn_shap_rho,agree_attn_shap_cos,agree_attn_shap_top5,agree_attn_perm_rho,agree_attn_perm_top5,agree_shap_perm_rho,agree_shap_perm_top5,has_shap,fidelity_gain_perm,fidelity_gain_perm_rel,fidelity_gain_attn,fidelity_gain_attn_rel,fidelity_gain_shap,fidelity_gain_shap_rel,primary_ranking
TimesNet,beijing_aotizhongxin,TimesNet_beijing_aotizhongxin_full_s0.pt,,0.3184928592294455,14,True,0.0665730787813663,0.2090253418630225,,,,,,,,,,,,,,,0.5868131868131868,0.8,True,,,,,,,
PatchTST,jena,PatchTST_jena_full_s0.pt,,0.4304176807403564,15,True,0.1636964705586433,0.3803200423297457,,,,,,,,,,,,,,,,,False,,,,,,,
iTransformer,jena,iTransformer_jena_full_s0.pt,,0.4212439760565757,15,True,0.1733436961472034,0.4115042730579542,,,,,,,,,,,,,,,,,False,,,,,,,
LSTM,jena,LSTM_jena_full_s0.pt,,0.4173893563449383,15,True,0.0985072621703148,0.2360080837540729,,,,,,,,,,,,,,,0.6249999999999999,0.8,True,,,,,,,
Crossformer,jena,Crossformer_jena_full_s0.pt,,0.3768544301390648,15,True,0.1894106918573379,0.5026096994201253,,,,,,,,,,,,,,,0.6964285714285713,0.8,True,,,,,,,
TFT,jena,TFT_jena_full_s0.pt,,0.4090359836816787,15,True,0.142389470487833,0.3481098880499564,,,,,,,,,,,,,,,,,False,,,,,,,
TimesNet,jena,TimesNet_jena_full_s0.pt,,0.4069735936820507,15,True,0.08822329133749,0.2167789082807538,,,,,,,,,,,,,,,0.4535714285714285,0.6,True,,,,,,,
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s3.pt,2.1039931774139404,0.3988768920302391,19,False,0.1593923652172088,0.3996029060643734,0.9894736842105264,0.9990177750587464,1.0,0.936842105263158,0.9974619746208192,1.0,0.9175438596491228,0.99333518743515,1.0,0.7982456140350876,0.8434159755706787,0.8,0.6175438596491227,0.8,0.6543859649122807,1.0,True,,,,,,,
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s3.pt,2.1039931774139404,0.3988768920302391,15,True,0.1761026410758495,0.4414962225049103,0.9894736842105264,0.9990177750587464,1.0,0.936842105263158,0.9974619746208192,1.0,0.9175438596491228,0.99333518743515,1.0,0.8321428571428571,0.8549129962921143,1.0,0.575,1.0,0.7535714285714286,1.0,True,,,,,,,
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s4.pt,2.534358501434326,0.4021282069385051,19,False,0.1897548027336597,0.4718763803671144,0.9894736842105264,0.9949575066566468,0.8,0.9140350877192982,0.8202690482139587,0.8,0.8894736842105263,0.7754002809524536,0.6,0.6473684210526316,0.5888155698776245,0.6,0.8157894736842105,0.8,0.6964912280701754,0.8,True,,,,,,,
XAI-MeteoFormer,jena,XAI-MeteoFormer_jena_full_s4.pt,2.534358501434326,0.4021282069385051,15,True,0.2705740056931972,0.6728550771236357,0.9894736842105264,0.9949575066566468,0.8,0.9140350877192982,0.8202690482139587,0.8,0.8894736842105263,0.7754002809524536,0.6,0.8999999999999999,0.9015304446220398,0.8,0.8642857142857141,1.0,0.7928571428571427,0.8,True,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s3.pt,2.360039234161377,0.3050350822508335,18,False,0.126069261059165,0.4132943008683077,0.997936016511868,0.9999249577522278,1.0,0.9938080495356036,0.9834185242652892,1.0,0.9917440660474718,0.9506379961967468,1.0,0.4695562435500516,0.5159908533096313,0.4,0.1228070175438596,0.4,0.4757481940144479,0.8,True,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s3.pt,2.360039234161377,0.3050350822508335,14,True,0.1314863369613886,0.4310531627744576,0.997936016511868,0.9999249577522278,1.0,0.9938080495356036,0.9834185242652892,1.0,0.9917440660474718,0.9506379961967468,1.0,0.2703296703296703,0.5661963820457458,0.4,-0.0285714285714285,0.4,0.5428571428571429,1.0,True,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s4.pt,2.6886112689971924,0.3082251369953155,18,False,0.0949310325831174,0.3079925067388655,0.977296181630547,0.998281955718994,1.0,0.9504643962848296,0.990203619003296,0.8,0.9195046439628484,0.9873002767562866,0.8,0.327141382868937,0.4704532623291015,0.4,0.0980392156862745,0.2,0.5521155830753354,0.8,True,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s4.pt,2.6886112689971924,0.3082251369953155,14,True,0.1273754406720399,0.4132545512469862,0.977296181630547,0.998281955718994,1.0,0.9504643962848296,0.990203619003296,0.8,0.9195046439628484,0.9873002767562866,0.8,0.1956043956043956,0.5607959032058716,0.6,0.3054945054945055,0.4,0.665934065934066,0.8,True,,,,,,,
