model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
Transformer,jena,full,1,0.0,2670099.0,261.1,6.03,0.1639953823510196,10.0,96,24,256,2,0.0005,0.0,3.3607752323150635,5.548037052154541,30.78071594238281,23.29101181030273,0.6470155119895935,2.635392427444458,3.369791984558105,7.355907440185547,9.862269401550291,10.53453254699707,2.591179609298706,3.6082301139831534,0.2616709470748901,0.8606212139129639,1.218086838722229,2.067665100097656,3.165348052978516,2.9329068660736084,4.936915874481201,3.5016679763793945,5.812334060668945,4.0412211418151855,6.356017112731934,0.7399398427763397,0.2172058332807243,0.999626447515876,0.3568687302739787,0.9764508076796684,0.7618574410976487,0.0721796807592752
Transformer,jena,full,2,0.0,2670099.0,209.5,5.99,0.1682953020925534,8.0,96,24,256,2,0.0005,0.0,3.4947216510772705,5.656712532043457,31.99839782714844,23.598934173583984,0.6297488212585449,2.7391157150268555,3.4324965476989746,7.576425552368164,10.010893821716309,11.062256813049316,2.795010089874268,3.800427436828613,0.2822206914424896,0.8683385848999023,1.2451106309890747,2.367856025695801,3.5780982971191406,3.083946704864502,5.099074840545654,3.57732892036438,5.785797595977783,4.224786758422852,6.5687360763549805,0.7563782235643755,0.2283593141815558,0.998381272568796,0.3716998771508263,0.9737814798938684,0.7255223404928891,0.0721796807592752
Transformer,jena,full,3,0.0,2670099.0,235.5,6.0,0.170689678204677,9.0,96,24,256,2,0.0005,0.0,3.51670503616333,5.70778226852417,32.57878112792969,23.84389305114746,0.6303421854972839,2.944084644317627,3.632305860519409,7.579392433166504,10.09927749633789,10.806370735168455,2.678272485733032,3.6900131702423096,0.2704403698444366,0.8650719523429871,1.2287955284118652,2.314622163772583,3.5327019691467285,3.089771270751953,5.134785175323486,3.66306209564209,5.957818031311035,4.205760002136231,6.560272693634033,0.7632927092320967,0.2334491729440087,0.9981737434109492,0.378399641252783,0.9764032583543558,0.762302368481068,0.0721796807592752
Transformer,jena,full,4,0.0,2670099.0,286.9,6.0,0.1695295800737973,11.0,96,24,256,2,0.0005,0.0,3.395171642303467,5.525974273681641,30.53639030456543,23.699951171875,0.6346211433410645,2.848682403564453,3.5622246265411377,7.310432910919189,9.755298614501951,10.59528636932373,2.5524823665618896,3.5659067630767822,0.257917195558548,0.8690903782844543,1.2548222541809082,2.0502572059631348,3.060656309127808,2.928281307220459,4.845864295959473,3.5134100914001465,5.701571464538574,4.119040966033936,6.42642879486084,0.7631459112261528,0.2333278349715217,0.9980907317478106,0.3782342671091747,0.9774965677042476,0.7664420883558712,0.0721796807592752
Informer,jena,full,0,0.0,2867475.0,315.2,6.25,0.1648919964072736,12.0,96,24,256,2,0.0005,0.0,3.39915132522583,5.614770412445068,31.52564811706543,23.20092391967773,0.6448942422866821,2.7236502170562744,3.4268734455108643,7.418831348419189,10.000204086303713,10.630304336547852,2.60421085357666,3.5894322395324707,0.2629934549331665,0.849907636642456,1.2128582000732422,1.9659188985824585,3.0914647579193115,3.014921426773072,5.087861061096191,3.544828653335572,5.852587699890137,4.212433815002441,6.666129112243652,0.7603327820918416,0.2312366594234948,0.9982152492425186,0.3754908313101585,0.9747421794929712,0.7401665808454657,0.0721796807592752
Informer,jena,full,1,0.0,2867475.0,393.5,6.36,0.1751384118480812,15.0,96,24,256,2,0.0005,0.0,3.4204366207122803,5.538974285125732,30.680238723754883,23.906879425048828,0.6350147724151611,2.966114282608032,3.729306936264038,7.155572891235352,9.66052532196045,10.30397891998291,2.715772151947021,3.7392754554748535,0.2744356691837311,0.8442877531051636,1.2269153594970703,1.966726422309876,2.9172847270965576,3.003500699996948,4.920911312103272,3.5475950241088867,5.707214832305908,4.282697677612305,6.707271099090576,0.7415666043524111,0.2182492205061272,0.9994189183580292,0.3582624738694103,0.9718649642470996,0.7320553799675832,0.0721796807592752
Informer,jena,full,2,0.0,2867475.0,367.0,6.29,0.1678229098190819,14.0,96,24,256,2,0.0005,0.0,3.4626591205596924,5.663078784942627,32.07046127319336,23.934085845947266,0.6390776634216309,2.8982372283935547,3.572499513626098,7.592963695526123,10.095321655273438,10.975212097167969,2.479525089263916,3.479456663131714,0.2505036294460296,0.8799088597297668,1.223514437675476,2.0886101722717285,3.147871255874634,2.958240270614624,4.96891975402832,3.66715931892395,5.970487117767334,4.239818572998047,6.723174095153809,0.7657223660243505,0.2349748724027469,0.9955588760220812,0.3802111403480963,0.9743877879691516,0.7463740982436589,0.0721796807592752
Informer,jena,full,3,0.0,2867475.0,343.6,6.54,0.1702730282892531,13.0,96,24,256,2,0.0005,0.0,3.5665855407714844,5.787496089935303,33.495113372802734,24.294095993041992,0.6238707304000854,3.2933826446533203,3.996548652648926,7.540850162506103,10.183839797973633,10.74783706665039,2.5757343769073486,3.5793819427490234,0.2602068781852722,0.8563767671585083,1.2188270092010498,2.112283945083618,3.160346031188965,3.151869297027588,5.186371326446533,3.6971728801727295,5.995102882385254,4.455566883087158,6.96252965927124,0.7832901926948519,0.2492072238799763,0.9948532768854024,0.3985732577281873,0.9745517195127006,0.7424771316116605,0.0721796807592752
Informer,jena,full,4,0.0,2867475.0,322.0,6.48,0.1640499935265326,12.0,96,24,256,2,0.0005,0.0,3.410385847091675,5.551522254943848,30.819398880004883,23.549144744873047,0.6450581550598145,2.8191866874694824,3.5047523975372314,7.374099731445312,9.828286170959473,10.820701599121094,2.6020424365997314,3.5944979190826416,0.2627700865268707,0.8462187051773071,1.2159876823425293,2.040170192718506,3.097897291183472,3.018380880355835,5.010159969329834,3.546597480773926,5.750116348266602,4.145078182220459,6.536388397216797,0.770051409260857,0.238691622174146,0.9982982609056572,0.385266580703033,0.9752010578289998,0.740338551292953,0.0721796807592752
Autoformer,jena,full,0,0.0,2677267.0,1476.6,12.28,0.1999612503703837,17.0,96,24,256,2,0.0005,0.0,3.833132982254028,6.039395809173584,36.47430038452149,25.24197769165039,0.568082332611084,2.611082077026367,3.3136205673217773,8.109057426452637,10.541171073913574,11.733914375305176,3.643383741378784,4.69232702255249,0.3682940602302551,0.969009816646576,1.335265040397644,2.8788540363311768,4.339199066162109,3.4316725730896,5.425450801849365,3.8781023025512695,6.13035774230957,4.487923622131348,6.970460891723633,0.7324052104304477,0.2122057110585577,0.99813223757938,0.3500003638560003,0.9677932654762098,0.6931436824999715,0.0721796807592752
Autoformer,jena,full,1,0.0,2677267.0,1470.4,12.14,0.2115213979285842,17.0,96,24,256,2,0.0005,0.0,4.129242897033691,6.4498443603515625,41.60049057006836,26.38443756103516,0.5343449115753174,3.052367687225342,3.796330690383911,8.649270057678223,11.157137870788574,12.528451919555664,3.847077608108521,5.0769572257995605,0.3883338868618011,0.9682522416114808,1.3162946701049805,3.086327075958252,4.709788799285889,3.683347702026367,5.770735263824463,4.177762508392334,6.518017292022705,4.88685941696167,7.627365589141846,0.7470730275141405,0.2215309061369175,0.9960569460009132,0.3624500645667983,0.9617434174470596,0.6581705423609949,0.0721796807592752
Autoformer,jena,full,2,0.0,2677267.0,1211.4,12.26,0.2111201069121711,14.0,96,24,256,2,0.0005,0.0,3.9558568000793457,6.182114124298096,38.21853256225586,26.098907470703125,0.5529046058654785,3.105743885040283,3.908860683441162,8.243906021118164,10.67465877532959,11.95420742034912,3.525213718414306,4.679059028625488,0.3559781014919281,0.9485654830932616,1.324017882347107,2.9543166160583496,4.516560077667236,3.5270910263061523,5.540199279785156,4.035375118255615,6.306054592132568,4.6450066566467285,7.15668249130249,0.7501797526603394,0.2238007844160199,0.9970945917901464,0.3655522924053137,0.9657238913457626,0.6815717575416776,0.0721796807592752
Autoformer,jena,full,3,0.0,2677267.0,1206.4,12.29,0.2097455570132435,14.0,96,24,256,2,0.0005,0.0,3.961820125579834,6.222841262817383,38.723751068115234,25.84315490722656,0.546436071395874,2.816803455352783,3.518900156021118,8.322938919067383,10.765772819519045,11.774556159973145,3.7360894680023193,4.981394290924072,0.3772307634353637,0.97144216299057,1.3402466773986816,3.091905355453491,4.694067001342773,3.589805603027344,5.656565189361572,3.981736183166504,6.265652656555176,4.6242547035217285,7.175896167755127,0.7436427475793308,0.2192087402143033,0.9960154401693438,0.359333353298793,0.9649541611366016,0.6745733352523884,0.0721796807592752
Autoformer,jena,full,4,0.0,2677267.0,1640.8,12.27,0.2066630021982834,19.0,96,24,256,2,0.0005,0.0,4.062866687774658,6.448824882507324,41.58734130859375,26.102706909179688,0.5374884605407715,2.931819200515747,3.671548366546631,8.690518379211426,11.276342391967772,12.55620288848877,3.668039083480835,4.892884254455566,0.3708518445491791,0.961091160774231,1.33150053024292,3.2524375915527344,4.968813419342041,3.7375967502594,5.953524112701416,4.092862129211426,6.519467830657959,4.725220680236816,7.419923305511475,0.756995374364874,0.2283261230012769,0.9945212302328476,0.3713876080133297,0.964498036507628,0.6700537261071944,0.0721796807592752
TFT,jena,full,0,0.0,0.0,3640676.0,912.4,11.77,0.1615689937790038,10,96,24,256,2.0,0.0005,3.324134111404419,5.472985744476318,29.95357322692871,23.13221549987793,0.648594856262207,2.62725830078125,3.320115566253662,7.398499488830566,9.782930374145508,10.51880931854248,2.392714262008667,3.3976993560791016,0.2417585104703903,0.8780683279037476,1.241391658782959,1.7606616020202637,2.777240037918091,2.801093101501465,4.7532734870910645,3.4744691848754883,5.666531085968018,4.127010345458984,6.444692134857178,0.7333219489981785,0.2126429659006409,0.997011580127008,0.3505256936894869,0.9721735527920212,0.7426198041548964,0.0721796807592752
TFT,jena,full,1,0.0,0.0,3640676.0,1102.1,12.08,0.1669292142718758,12,96,24,256,2.0,0.0005,3.421860694885254,5.581889152526856,31.15748405456543,23.48765754699707,0.6327795386314392,2.571718215942383,3.29184889793396,7.584133148193359,9.92397403717041,11.26775074005127,2.6540229320526123,3.703442096710205,0.2683486044406891,0.8775649666786194,1.262113094329834,1.7961655855178833,2.8288354873657227,2.857194423675537,4.714076042175293,3.5313267707824707,5.701145648956299,4.361884593963623,6.771148204803467,0.7314075831655642,0.2106573221646527,0.9905781762337608,0.3474298691278587,0.9625115146236384,0.6672719027338931,0.0721796807592752
TFT,jena,full,2,0.0,0.0,3640676.0,909.4,12.01,0.1636173216666311,10,96,24,256,2.0,0.0005,3.432077407836914,5.568264007568359,31.005565643310547,23.003633499145508,0.6380422115325928,2.6245646476745605,3.31215763092041,7.532200336456299,9.87538242340088,10.68612289428711,2.7005531787872314,3.739901304244995,0.2726491391658783,0.8709830045700073,1.241681694984436,1.921118974685669,3.019266128540039,2.9339332580566406,4.866889476776123,3.560906887054444,5.7266621589660645,4.245314121246338,6.57917594909668,0.7233396845939987,0.2067018460586476,0.998256755074088,0.3424873085604027,0.9749735499213684,0.7596203978215244,0.0721796807592752
TFT,jena,full,3,0.0,0.0,3640676.0,1007.0,11.75,0.1576892553367792,11,96,24,256,2.0,0.0005,3.301513671875,5.5249786376953125,30.52538681030273,22.887964248657227,0.6491888165473938,2.280820846557617,2.9386587142944336,7.654162406921387,10.017212867736816,11.531984329223633,2.398233413696289,3.39768934249878,0.2422929257154464,0.8728395104408264,1.2557860612869265,1.829580307006836,3.0078608989715576,2.7893731594085693,4.809828281402588,3.415630578994751,5.660380840301514,4.108314514160156,6.469679355621338,0.6952892819480395,0.1914842874291483,0.999750965010584,0.3214085559499346,0.9717707241280068,0.7367236988027346,0.0721796807592752
TFT,jena,full,4,0.0,0.0,3640676.0,913.4,11.86,0.1687904303612685,10,96,24,256,2.0,0.0005,3.442143201828003,5.609189987182617,31.463010787963867,23.11348533630371,0.634411633014679,2.4052445888519287,3.081825494766236,7.573063373565674,9.956171989440918,11.074199676513672,2.909951686859131,3.959012269973755,0.2939344048500061,0.8803138732910156,1.247102975845337,2.0788519382476807,3.254310846328736,2.9688353538513184,4.882067680358887,3.566697835922241,5.7830986976623535,4.214005947113037,6.611026287078857,0.7099061691113029,0.1989420880103307,0.99750965010584,0.3317252945195553,0.971801039431256,0.7407069738016631,0.0721796807592752
TimesNet,jena,full,0,0.0,0.0,1186507.0,937.8,9.1,0.158320279067484,11,96,24,256,2.0,0.0005,3.2901673316955566,5.435922145843506,29.549251556396484,22.84212112426757,0.6524155735969543,2.380709648132324,3.0245730876922607,7.422737121582031,9.759026527404783,10.831307411193848,2.4796204566955566,3.501330852508545,0.2505552470684051,0.8776014447212219,1.245429515838623,1.8526536226272583,3.03271746635437,2.7963523864746094,4.748576641082764,3.422297954559326,5.617932796478272,4.070108890533447,6.380913257598877,0.7125095868085515,0.2004834340487601,0.9983397667372266,0.3339117638892745,0.9740950616855222,0.7493894167314306,0.0721796807592752
TimesNet,jena,full,1,0.0,0.0,1186507.0,850.1,9.3,0.1604913634030683,10,96,24,256,2.0,0.0005,3.321370840072632,5.4814934730529785,30.046772003173828,22.65314674377441,0.6477311849594116,2.386230945587158,3.051112651824951,7.491418361663818,9.832941055297852,10.894128799438477,2.530388593673706,3.5536227226257324,0.2555741965770721,0.8774482011795044,1.250143051147461,1.9151450395584104,3.153071880340576,2.834528923034668,4.825976371765137,3.438654899597168,5.635090351104736,4.118401050567627,6.427034854888916,0.7153436870865689,0.2020717988355583,0.9982982609056572,0.3361095584125209,0.9749862493798358,0.7622564051878697,0.0721796807592752
TimesNet,jena,full,2,0.0,0.0,1186507.0,891.9,8.88,0.1596954189263631,11,96,24,256,2.0,0.0005,3.2958688735961914,5.46911096572876,29.91117286682129,22.70294189453125,0.6465421319007874,2.378856897354126,3.052826166152954,7.398475170135498,9.804917335510254,10.689815521240234,2.5338244438171387,3.5511302947998047,0.2559115290641784,0.8723210096359253,1.2561829090118408,1.8162976503372192,3.022928237915039,2.79797625541687,4.789944648742676,3.431739568710327,5.637073516845703,4.098803043365479,6.44049072265625,0.70767124436775,0.1978503643032187,0.9985888017266424,0.3302652802086551,0.9752390000041984,0.752177010397949,0.0721796807592752
TimesNet,jena,full,3,0.0,0.0,1186507.0,955.1,9.34,0.1619590928711307,11,96,24,256,2.0,0.0005,3.316736221313477,5.456064224243164,29.76863479614257,22.96372413635254,0.6452566385269165,2.4687724113464355,3.153796672821045,7.359679222106934,9.71915054321289,10.63847827911377,2.55588698387146,3.6193437576293945,0.2582633793354034,0.8826009035110474,1.251620531082153,1.7796251773834229,2.8736491203308105,2.8158113956451416,4.746547698974609,3.4591543674468994,5.633881092071533,4.154008865356445,6.5109686851501465,0.7144569072955613,0.2015705270568122,0.9982982609056572,0.3354158531823506,0.9739729560130832,0.7434502504800665,0.0721796807592752
TimesNet,jena,full,4,0.0,0.0,1186507.0,1076.8,9.09,0.1604616571513399,13,96,24,256,2.0,0.0005,3.3275351524353027,5.4775238037109375,30.00326919555664,22.923866271972656,0.6414899230003357,2.5069892406463623,3.166057586669922,7.439706325531006,9.791145324707031,10.849198341369627,2.49185562133789,3.53818678855896,0.2517969012260437,0.8715915083885193,1.2664291858673096,1.8042234182357788,2.921302556991577,2.814195394515991,4.763625621795654,3.4449191093444824,5.631727695465088,4.150965690612793,6.44179105758667,0.7245709903173234,0.207434559489413,0.998256755074088,0.3434924806124052,0.9751023236873332,0.7696720927890329,0.0721796807592752
