model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
XAI-MeteoFormer,jena,no_revin+no_cls,3,0.0,0.01,off,default,,,1892475,664.3,6.64,0.1458025097114141,20,96,24,256,2,0.0005,3.0082342624664307,5.206438064575195,27.10699844360352,21.51660919189453,0.6846701502799988,1.985559701919556,2.604738712310791,7.077544689178467,9.531792640686035,10.362653732299805,2.1129727363586426,3.0511441230773926,0.2134419679641723,0.8568587303161621,1.2160558700561523,1.2105445861816406,1.98710298538208,2.498805284500122,4.504909038543701,3.190315961837769,5.44948148727417,3.819017171859741,6.169529914855957,0.6445540935672515,0.077719420476267,0.3611422404847881,0.1279116775820121,0.5088009058457064,0.0781902817916746,0.0721796807592752
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_multiscale,0,0.0,0.01,off,default,,,1755256,206.6,3.39,0.1581228626515262,17,96,24,256,2,0.0005,4.105001926422119,8.129300117492676,66.08552551269531,26.549530029296875,0.6644018888473511,2.052504777908325,2.681128025054932,11.585885047912598,15.71932315826416,27.65634727478028,2.11323356628418,3.028667688369751,0.2082131057977676,0.6683856248855591,0.940009355545044,1.87439227104187,3.5976133346557617,3.4530861377716064,6.863502502441406,4.277200222015381,8.435954093933105,5.112700462341309,9.594060897827148,0.9116509547981628,0.6776358791291669,0.9375,0.7866627754268204,0.975490776023575,0.8840892098763445,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_multiscale,2,0.0,0.01,off,default,,,1755256,233.5,3.37,0.1606571511520831,19,96,24,256,2,0.0005,4.191749572753906,8.33557415008545,69.4817886352539,26.88040351867676,0.6450504660606384,2.126197576522827,2.7418785095214844,11.71085262298584,16.10209083557129,29.16907119750977,2.251857280731201,3.19333291053772,0.2217997163534164,0.6780913472175598,0.9667322635650636,1.7579301595687866,3.341348171234131,3.535447359085083,6.894154071807861,4.48508358001709,8.70583438873291,5.202907085418701,9.782703399658203,0.9124365482233504,0.6795769327625283,0.9385781858653311,0.7883497414624171,0.9752317530522644,0.8840786773327286,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_multiscale,4,0.0,0.01,off,default,,,1755256,210.5,3.5,0.1581921451407475,17,96,24,256,2,0.0005,4.156689643859863,8.151156425476074,66.44134521484375,26.44121551513672,0.6638490557670593,2.043212652206421,2.635239362716675,11.79312801361084,15.766366004943848,28.72953987121582,2.1307950019836426,3.0593228340148926,0.209867238998413,0.6596275568008423,0.9397655129432678,1.8857715129852293,3.641422033309937,3.6394081115722656,7.113570213317871,4.398201942443848,8.605232238769531,5.106127262115479,9.398839950561523,0.9182922407541696,0.6963213116444537,0.9394476905954368,0.7998164132478569,0.9761709754917348,0.887178304297393,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_var_attn,1,0.0,0.01,off,default,,,1892219,302.2,3.5,0.1568546017028604,19,96,24,256,2,0.0005,4.123316764831543,8.177183151245117,66.86631774902344,26.706701278686523,0.6591973900794983,2.0388097763061523,2.6718873977661133,11.633587837219238,15.80244255065918,28.13525581359864,2.1531636714935303,3.116407632827759,0.2120225429534912,0.6677060127258301,0.9471690058708192,1.7516456842422483,3.309790134429932,3.4280896186828613,6.892358303070068,4.266610145568848,8.427538871765137,5.2713303565979,9.781890869140623,0.9029066956731931,0.6475308785559768,0.9682109070673344,0.7760478374196785,0.9760992291414998,0.8860884421458836,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_var_attn,3,0.0,0.01,off,default,,,1892219,285.8,3.58,0.1590502666343022,18,96,24,256,2,0.0005,4.068363666534424,8.131296157836914,66.11797332763672,26.29808807373047,0.6668903827667236,1.9654563665390008,2.592341661453247,11.537701606750488,15.741605758666992,27.7583236694336,2.111713171005249,3.0129902362823486,0.2080214172601699,0.6585789918899536,0.93559467792511,1.7392984628677368,3.3658368587493896,3.4179601669311523,6.949321746826172,4.265571117401123,8.36451244354248,5.052186965942383,9.544063568115234,0.9060913705583756,0.6585693710993759,0.9542292710072344,0.7792989831278759,0.9753481956391524,0.882269481282629,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_temp_attn,0,0.0,0.01,off,default,,,1892219,250.4,3.47,0.1597888876739279,16,96,24,256,2,0.0005,4.108138084411621,8.07849407196045,65.2620620727539,26.91046905517578,0.6635111570358276,2.132758378982544,2.7377164363861084,11.406306266784668,15.582574844360352,27.429288864135746,2.229166030883789,3.138322830200196,0.2196378707885742,0.6643216013908386,0.9420352578163148,1.8962336778640747,3.334360122680664,3.428297519683838,6.788795471191406,4.353109836578369,8.503509521484375,5.232214450836182,9.604634284973145,0.8952501812907905,0.6281308914624293,0.9733931552587646,0.7635455884760189,0.9770280468790878,0.8875381247811996,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_temp_attn,2,0.0,0.01,off,default,,,1892219,235.3,3.48,0.1610077798172968,15,96,24,256,2,0.0005,4.143415451049805,8.092933654785156,65.49557495117188,27.256298065185547,0.6682091951370239,2.075002193450928,2.7482922077178955,11.660175323486328,15.624980926513672,27.11721992492676,2.1626193523406982,3.069530248641968,0.2130534201860427,0.6758671402931213,0.9312127232551576,1.9490716457366943,3.7200448513031006,3.513362169265747,6.972096920013428,4.389224052429199,8.476062774658203,5.162927150726318,9.567298889160156,0.893346627991298,0.6247331880378367,0.9670631608235948,0.7590876206336423,0.974066524502974,0.872022642867456,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_temp_attn,4,0.0,0.01,off,default,,,1892219,297.1,3.45,0.1613480123114649,19,96,24,256,2,0.0005,4.226824760437012,8.321647644042969,69.24982452392578,27.35590553283692,0.6540522575378418,2.228395700454712,2.869179010391236,11.745737075805664,16.052597045898438,28.177705764770508,2.258349895477295,3.1921069622039795,0.2224215716123581,0.6748149991035461,0.9443034529685974,2.070072650909424,3.8167455196380615,3.521038293838501,6.938397407531738,4.4281907081604,8.60285472869873,5.380021572113037,10.020381927490234,0.9018370800096688,0.6471598663466516,0.9565595436839176,0.7720140350877193,0.9758978900327868,0.887494381577455,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin+no_fusion,1,0.0,0.01,off,default,,,1760891,237.6,3.54,0.1642686663949457,15,96,24,256,2,0.0005,4.241086006164551,8.16628360748291,66.68819427490234,27.970233917236328,0.6563109755516052,2.19806170463562,2.8353471755981445,11.702476501464844,15.712477684020996,26.656822204589844,2.3892276287078857,3.306695938110352,0.2354219555854797,0.674575924873352,0.9473199844360352,2.0522241592407227,3.622414588928223,3.5622174739837646,6.884478092193604,4.424062728881836,8.484457015991211,5.287644386291504,9.671122550964355,0.8892373700749335,0.6136814780882578,0.978471062882582,0.7542864803270997,0.975093166483012,0.8815987859360419,0.1737490935460478
