model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,norm_variant,width,bl_d_model,bl_d_ff
XAI-MeteoFormer,beijing_aotizhongxin,no_temp_attn,3,0.0,1892255.0,285.4,3.39,0.1719855554764834,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.300717830657959,8.42803955078125,71.03184509277344,27.077856063842773,0.6403601169586182,1.9368146657943728,2.542701482772827,12.29177474975586,16.313552856445312,26.82918930053711,2.2907400131225586,3.253281831741333,0.2256882786750793,0.6835400462150574,0.972736656665802,1.9857757091522217,3.838169097900391,3.5227224826812744,7.095981121063232,4.668909549713135,9.038140296936035,5.129150390625,9.561266899108888,0.8883611312545323,0.6537609957513015,0.7599471341124096,0.7028661498375527,0.9429776820230796,0.731537764696827,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_fusion,0,0.0,1760927.0,271.0,3.51,0.1741735013908505,17.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.262264728546143,8.307104110717773,69.00798034667969,27.35479164123535,0.6297910213470459,2.125077486038208,2.7784316539764404,11.88558292388916,16.003421783447266,27.66532325744629,2.335831642150879,3.347208976745605,0.2300001978874206,0.7025678157806396,0.9994469285011292,1.8715662956237795,3.563544750213623,3.6900885105133057,7.233327865600586,4.517165660858154,8.699017524719238,5.207097053527832,9.686391830444336,0.8841491418902586,0.6583793434059576,0.6926126878130217,0.6750622891913423,0.9356028425306716,0.7249530338205057,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_fusion,2,0.0,1760927.0,334.1,3.48,0.171498653501193,21.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.145926475524902,8.260278701782227,68.23220825195312,26.690155029296875,0.6408197283744812,1.9350733757019043,2.5524518489837646,11.722485542297363,15.968852996826172,27.868785858154297,2.235107898712158,3.231426239013672,0.2201616466045379,0.6910335421562195,0.9835903644561768,1.83370053768158,3.6773622035980233,3.461404323577881,6.983981609344482,4.36742115020752,8.579814910888672,5.193417549133301,9.790569305419922,0.8754653130287648,0.6073330170277822,0.8013703394546466,0.6909881541460489,0.938113208277562,0.7162089513392587,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_fusion,4,0.0,1760927.0,348.9,3.47,0.1683102684463411,22.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.156135559082031,8.181761741638184,66.94123077392578,26.661296844482425,0.6427368521690369,1.935115098953247,2.557600498199463,11.725379943847656,15.800402641296388,26.779756546020508,2.272674083709717,3.2562448978424072,0.2239342778921127,0.6913712620735168,0.983741044998169,1.7723034620285034,3.5325074195861816,3.462817430496216,6.860493183135986,4.447880744934082,8.674461364746094,5.181644439697266,9.581567764282228,0.876655789219241,0.601876053447981,0.856949081803005,0.7071130307509076,0.9432311290937164,0.7507405804647999,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_cls,1,0.0,1892255.0,294.2,3.52,0.1646105118001285,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.062010765075684,7.9979963302612305,63.96794891357422,26.19829750061035,0.6555939316749573,1.911563754081726,2.519977569580078,11.304738998413086,15.388731002807615,26.195287704467773,2.353193998336792,3.4326632022857666,0.2316882163286209,0.6785486340522766,0.9619211554527284,1.757832646369934,3.5241310596466064,3.383159875869751,6.771335124969482,4.236495971679688,8.224440574645996,5.153248310089111,9.609865188598633,0.4632402707275804,0.1762613578796469,0.5687604340567612,0.2691209505550115,0.5011481994128568,0.1710845746869499,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_cls,3,0.0,1892255.0,290.7,3.42,0.1672580026008754,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.13202428817749,8.08592414855957,65.38217163085938,26.501802444458008,0.6538217067718506,1.9068506956100464,2.5028231143951416,11.622586250305176,15.59367561340332,25.76825714111328,2.322279691696167,3.342857837677002,0.2286755740642547,0.6763815879821777,0.9628565907478333,2.031254768371582,3.983050584793091,3.406512260437012,6.84605598449707,4.257470607757568,8.272647857666016,5.223402976989746,9.607145309448242,0.5706792361614696,0.1710227449516164,0.3823386199220924,0.236332365903472,0.5004701541196447,0.1700012442715815,0.1737490935460478,off,default,,
Transformer,jena,full,0,0.0,2670137.0,232.2,5.22,0.1719209815537775,8.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.5357699394226074,5.907575607299805,34.89944839477539,23.67821311950684,0.6119985580444336,2.461442232131958,3.190126180648804,8.0199556350708,10.620600700378418,11.552938461303713,2.769912004470825,3.871212959289551,0.2799451947212219,0.8917689323425293,1.2796242237091064,2.1116225719451904,3.43342399597168,3.102813959121704,5.340924263000488,3.678653478622437,6.151822090148926,4.240406036376953,6.681910037994385,0.6954181046879494,0.1915399541926453,0.9996679533474452,0.3214826778432563,0.9698617974255536,0.7133304157582537,0.0721796807592752,on,default,,
Transformer,jena,full,2,0.0,2670137.0,262.3,5.4,0.1734666427491746,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.5440828800201416,5.850244522094727,34.22536087036133,23.72721672058105,0.613296389579773,2.5135066509246826,3.242151975631714,7.920510292053223,10.428723335266112,11.46595573425293,2.852677583694458,4.002031326293945,0.2880358695983886,0.8896262645721436,1.2709722518920898,1.9514477252960205,3.0934393405914307,3.078080654144287,5.217772006988525,3.714369535446167,6.102430820465088,4.246429443359375,6.635106086730957,0.72390890135174,0.2068986306089053,0.9970945917901464,0.3426888155032346,0.9697214196798518,0.7109820964473692,0.0721796807592752,on,default,,
Transformer,jena,full,4,0.0,2670137.0,239.8,5.51,0.1782375340553044,8.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.634468078613281,5.956155300140381,35.47578430175781,24.469629287719727,0.6017159819602966,2.97156286239624,3.766159057617188,7.961712837219238,10.575448036193848,11.3397798538208,2.7170095443725586,3.7754199504852295,0.274527758359909,0.8875906467437744,1.27485454082489,2.15867018699646,3.389162302017212,3.167005777359009,5.325953960418701,3.8037171363830566,6.239431858062744,4.366144180297852,6.8128342628479,0.7471868708656888,0.2217062993870467,0.9968455568007304,0.362737028114876,0.968798243845794,0.7024106296167877,0.0721796807592752,on,default,,
Informer,beijing_aotizhongxin,full,0,0.0,2865718.0,244.4,3.55,0.2069936672036965,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.102687835693359,9.364151000976562,87.68733215332031,30.387598037719727,0.5592041015625,3.181810140609741,4.054705619812012,13.614849090576172,17.79806137084961,31.681602478027344,2.86093807220459,4.056623935699463,0.2818281650543213,0.7531511187553406,1.0399504899978638,2.977064371109009,5.133394241333008,4.073188781738281,7.373720645904541,5.351697444915772,9.68832778930664,6.250373840332031,11.17507266998291,0.7287043751510757,0.3904081688075387,1.0,0.5615734682318014,0.9625808631767748,0.8136192449669601,0.1737490935460478,on,default,,
Informer,beijing_aotizhongxin,full,2,0.0,2865718.0,248.1,3.53,0.203805366971516,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.080539703369141,9.21422004699707,84.90184783935547,30.389707565307617,0.5673707723617554,3.4833481311798096,4.356910228729248,13.214754104614258,17.397720336914062,30.55728912353516,2.8809847831726074,4.110302925109863,0.2836410105228424,0.7430708408355713,1.0244640111923218,2.626100778579712,4.539114952087402,4.1122870445251465,7.419522762298584,5.380164623260498,9.591039657592772,6.234393119812012,10.983704566955566,0.7414249456127628,0.4018734708144005,0.999721758486366,0.5732919812120426,0.966721898150468,0.8447436486997739,0.1737490935460478,on,default,,
Informer,beijing_aotizhongxin,full,4,0.0,2865718.0,242.7,3.52,0.2017321711115193,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.939189434051514,9.090699195861816,82.64081573486328,29.55838966369629,0.5853734016418457,3.1809070110321045,4.051651954650879,13.017455101013184,17.22533416748047,31.190290451049805,2.8605382442474365,4.0536065101623535,0.2815515697002411,0.6978549361228943,1.0017646551132202,2.833691358566284,4.847043991088867,4.040590286254883,7.388052940368652,5.16120195388794,9.318026542663574,6.0572919845581055,10.826617240905762,0.7357988880831521,0.3967182799260302,0.9998260990539788,0.5680439464896161,0.965329554924974,0.8333772653553091,0.1737490935460478,on,default,,
Transformer,beijing_aotizhongxin,full,1,0.0,2668342.0,125.5,3.15,0.204467512176633,8.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.012986660003662,9.04992389678955,81.90111541748047,29.91103744506836,0.5875040888786316,3.3118364810943604,4.188511848449707,13.122788429260254,17.13007354736328,31.17240333557129,2.892993450164795,3.9524247646331774,0.2850622534751892,0.7243263125419617,0.9999040961265564,3.094302177429199,5.202147960662842,4.699465751647949,8.35400104522705,5.175673007965088,9.277302742004396,5.772626876831055,10.236617088317873,0.738155668358714,0.398879054410255,1.0,0.5702838328341631,0.9686123605961748,0.8470227384913515,0.1737490935460478,on,default,,
Transformer,beijing_aotizhongxin,full,3,0.0,2668342.0,126.9,3.09,0.1987936888951483,8.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.851125717163086,9.028620719909668,81.51599884033203,29.098308563232425,0.5905972719192505,2.812650203704834,3.653308868408203,12.99959659576416,17.21249771118164,31.625986099243164,2.876548290252685,3.928612470626831,0.2833664119243622,0.7157101035118103,1.0066090822219849,2.973194360733032,5.241223335266113,4.352035999298096,8.11965560913086,5.1079583168029785,9.568482398986816,5.610226631164551,10.10806655883789,0.7210962049794537,0.3838462051932447,1.0,0.5547526939811108,0.9694782357761542,0.8496171429794872,0.1737490935460478,on,default,,
LSTM,jena,full,0,0.0,834656.0,159.3,3.18,0.1621175076702795,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.364832639694214,5.496388912200928,30.210289001464844,23.43976593017578,0.6526954770088196,2.7817771434783936,3.446985483169556,7.437805652618408,9.798768043518066,10.78603458404541,2.386554479598999,3.3862998485565186,0.2409492433071136,0.85319983959198,1.215153455734253,1.9034881591796875,3.0163583755493164,2.9044480323791504,4.888840198516846,3.519718647003174,5.711830139160156,4.069034099578857,6.323454856872559,0.7858187134502924,0.2517363111637213,0.9974266384427012,0.4020108068320591,0.9760576715364492,0.7570299493840514,0.0721796807592752,off,default,,
LSTM,jena,full,2,0.0,834656.0,158.9,3.25,0.1609529654350713,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3124611377716064,5.356349468231201,28.69047737121582,23.50802993774414,0.6599851250648499,2.846048593521118,3.482895374298096,7.19366979598999,9.491559028625488,10.399399757385254,2.356656551361084,3.327982187271118,0.2379313558340072,0.8534711599349976,1.2108628749847412,1.8793654441833496,2.9464681148529053,2.848872184753418,4.722882270812988,3.4378740787506104,5.512950420379639,4.04556941986084,6.23892068862915,0.7850997028089349,0.2510425703147046,0.9969285684638692,0.4010854137096101,0.9743508984533222,0.749825172264829,0.0721796807592752,off,default,,
LSTM,jena,full,4,0.0,834656.0,163.2,3.14,0.1605181368823133,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.2517638206481934,5.361481666564941,28.745485305786133,23.049293518066406,0.6642181873321533,2.581015110015869,3.217620611190796,7.229892253875732,9.600090980529783,10.481146812438965,2.336890459060669,3.315593719482422,0.2361117452383041,0.8592579960823059,1.2140499353408811,1.7840954065322876,2.83689546585083,2.815680503845215,4.793665885925293,3.3857262134552,5.564013481140137,3.988771915435791,6.242857456207275,0.7592662496404947,0.230453029780384,0.998256755074088,0.3744599360097153,0.9760841801382242,0.7595090061450002,0.0721796807592752,off,default,,
DLinear,jena,full,1,0.0,4694.0,203.6,3.11,0.1782766996497653,22.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.5023889541625977,5.847133636474609,34.18897247314453,23.75643920898437,0.6022142767906189,2.372061014175415,3.071521043777466,7.716009616851807,10.39718532562256,11.251039505004885,3.00394606590271,4.185044765472412,0.3034550547599792,0.9175410866737366,1.3059639930725098,1.0835708379745483,1.8328442573547363,3.050482988357544,5.168404579162598,3.843949317932129,6.251772880554199,4.2883806228637695,6.748998165130615,0.6908463953599847,0.188808107512668,0.9959739343377744,0.3174388993617091,0.9659138728749606,0.6894161215193859,0.0721796807592752,on,default,,
DLinear,jena,full,3,0.0,4694.0,130.8,3.52,0.1782939947907021,14.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.504456758499145,5.838663101196289,34.089988708496094,23.78843688964844,0.6026774048805237,2.370608329772949,3.071576833724976,7.705111503601074,10.36622714996338,11.23404312133789,3.0275208950042725,4.215209484100342,0.3058464229106903,0.9145813584327698,1.3033431768417358,1.0845494270324707,1.8491637706756592,3.0466110706329346,5.144905090332031,3.8471829891204834,6.255232334136963,4.300275802612305,6.734605312347412,0.6902202569264692,0.1885177010266359,0.9961399576640518,0.3170367630546492,0.9655413528132,0.6883270914869217,0.0721796807592752,on,default,,
