model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
PatchTST,beijing_aotizhongxin,full,1,0.0,0.0,off,default,huber,0.5,,,1657880,339.4,4.66,0.1822916178672335,11,96,24,256,2,0.0005,4.391933441162109,8.402240753173828,70.59764862060547,27.29376602172852,0.6261906027793884,2.022556781768799,2.670807123184204,12.100408554077148,16.12787437438965,28.840368270874023,2.749181270599365,3.7637691497802734,0.2707503139972687,0.6955834627151489,0.991496205329895,1.928100347518921,3.596489906311035,3.852062463760376,7.3357157707214355,4.694094657897949,8.852071762084961,5.253084182739258,9.66954517364502,0.7002719361856418,0.3669640464065551,1.0,0.5369037281868855,0.971222258841034,0.8606845642590576,0.1737490935460478
PatchTST,beijing_aotizhongxin,full,3,0.0,0.0,off,default,huber,0.5,,,1657880,709.4,4.74,0.1753303399251772,23,96,24,256,2,0.0005,4.3253560066223145,8.26891803741455,68.37500762939453,27.25074958801269,0.6306621432304382,2.244435787200928,2.9500293731689453,11.869829177856444,15.852582931518556,27.40624237060547,2.493017673492432,3.536708354949951,0.2454418987035751,0.6941419243812561,0.9923096299171448,1.812803149223328,3.37568736076355,3.6280808448791504,7.000966548919678,4.643001079559326,8.758399963378906,5.3304972648620605,9.65781307220459,0.7070219966159053,0.3722712794883082,1.0,0.5425622251995547,0.9684723207823716,0.8259184221961703,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.0,0.01,off,default,huber,0.5,,,1892219,371.3,3.38,0.158763326750697,18,96,24,256,2,0.0005,4.135352611541748,8.203083992004395,67.29058837890625,26.46650695800781,0.6590407490730286,2.0486228466033936,2.6139585971832275,11.602651596069336,15.868135452270508,27.75169563293457,2.2204129695892334,3.104062795639038,0.2188998460769653,0.6697230339050293,0.9469360709190368,1.783778429031372,3.37960171699524,3.472067356109619,6.972280502319336,4.338028430938721,8.5166015625,5.140446662902832,9.603920936584473,0.9065083393763596,0.6600853402762711,0.9523163606010016,0.7797189355431208,0.9754996113587056,0.8858849585470918,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.0,0.01,off,default,huber,0.5,,,1892219,331.1,3.39,0.15950857611455,16,96,24,256,2,0.0005,4.237703800201416,8.29566478729248,68.81806182861328,26.78744888305664,0.6481520533561707,1.9626718759536743,2.52400541305542,11.965503692626951,16.050838470458984,28.13630104064941,2.348177671432495,3.215781688690185,0.2313234657049179,0.6744614243507385,0.9648895263671876,1.846879243850708,3.32806658744812,3.698074102401733,7.201583385467529,4.537164211273193,8.808730125427246,5.223926067352295,9.68075180053711,0.8966521634034325,0.6316503186728744,0.9720367278797996,0.7657196087564043,0.9756001846321128,0.8810869633772243,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.0,0.01,off,default,huber,0.5,,,1892219,374.7,3.4,0.1627356686008198,18,96,24,256,2,0.0005,4.329340934753418,8.425020217895508,70.98096466064453,27.01066780090332,0.6457690596580505,2.0328497886657715,2.604504346847534,12.207724571228027,16.296939849853516,30.086973190307617,2.4081602096557617,3.2603847980499268,0.237414076924324,0.6686294674873352,0.9591580629348756,2.1013970375061035,3.742215871810913,3.808735847473145,7.417120456695557,4.471328258514404,8.756993293762207,5.246442317962647,9.694372177124023,0.8891648537587624,0.6138635518516088,0.9760712298274904,0.7537095972820905,0.975123134532572,0.8784694264801303,0.1737490935460478
Transformer,jena,full,1,0.0,0.0,off,default,huber,0.5,,,2670099,306.0,5.26,0.170569812537675,8,96,24,256,2,0.0005,3.4963648319244385,5.656942844390869,32.00100326538086,23.811309814453125,0.628771960735321,2.913243293762207,3.5828044414520264,7.538296222686768,10.003536224365234,11.042882919311523,2.6742422580718994,3.680087327957153,0.2702255845069885,0.859679102897644,1.246501326560974,2.2838292121887207,3.4457597732543945,3.0978450775146484,5.052043914794922,3.634100914001465,5.905758380889893,4.177492141723633,6.510308265686035,0.763370602051577,0.2336425923409871,0.999252895031752,0.3787312699099383,0.9762611445147624,0.7441845579606459,0.0721796807592752
Transformer,jena,full,3,0.0,0.0,off,default,huber,0.5,,,2670099,310.6,5.26,0.1708257322398391,8,96,24,256,2,0.0005,3.5579323768615723,5.764801502227783,33.23293685913086,24.27856636047364,0.6277487277984619,3.039340019226074,3.716462135314941,7.635493755340576,10.194738388061523,10.878256797790527,2.688143253326416,3.7004544734954834,0.2714612782001495,0.8687564730644226,1.2221075296401978,2.526007890701294,3.912850856781006,3.163796901702881,5.226210594177246,3.686053276062012,5.98300313949585,4.247109413146973,6.640661239624023,0.7790360464001533,0.2458106849287023,0.9966795334744531,0.3943604145111757,0.9747350234329596,0.7420627163855031,0.0721796807592752
Informer,beijing_aotizhongxin,full,0,0.0,0.0,off,default,huber,0.5,,,2865682,221.2,3.35,0.20634588990322,10,96,24,256,2,0.0005,4.981781482696533,9.01481819152832,81.26695251464844,29.97593879699707,0.5954321622848511,3.745904445648194,4.682573318481445,12.539294242858888,16.956809997558594,30.67671585083008,2.9577412605285645,3.828257322311402,0.2915467023849487,0.6841837167739868,0.9758594036102296,3.702267646789551,6.040348529815674,4.271677494049072,7.625157833099365,5.013519287109375,9.246848106384276,5.729325294494629,10.239340782165527,0.7578619772782209,0.4177675081019023,0.9998260990539788,0.589301271998606,0.9703073468960646,0.8601456039559837,0.1737490935460478
Informer,beijing_aotizhongxin,full,2,0.0,0.0,off,default,huber,0.5,,,2865682,225.4,3.35,0.1946317276658651,10,96,24,256,2,0.0005,4.853054046630859,8.85532283782959,78.416748046875,29.318164825439453,0.6059699058532715,3.5333914756774902,4.407536029815674,12.320944786071776,16.707927703857422,29.88898468017578,2.871557712554932,3.760429620742798,0.2830122709274292,0.6863251328468323,0.972091257572174,3.316460609436035,5.446045875549316,4.376057624816895,7.944169044494629,4.915328502655029,8.877622604370117,5.573435306549072,10.12668514251709,0.7588530335992265,0.4187703019620981,0.9998956594323872,0.5903103600505117,0.971457594536669,0.8662922190402563,0.1737490935460478
Informer,beijing_aotizhongxin,full,4,0.0,0.0,off,default,huber,0.5,,,2865682,270.6,3.37,0.201388330266192,12,96,24,256,2,0.0005,4.857101917266846,8.857429504394531,78.45406341552734,30.298439025878903,0.6044482588768005,3.961883544921875,4.9616379737854,12.2588529586792,16.62918472290039,29.55327606201172,2.5289571285247803,3.424485921859741,0.2492684125900268,0.6787121295928955,0.970345675945282,3.3298418521881104,5.525472164154053,4.314136505126953,7.953115463256836,5.051308631896973,9.140572547912598,5.806385040283203,10.465333938598633,0.7578136330674402,0.4177022018748637,0.9995826377295493,0.5891940096558935,0.970786980937168,0.8627324160323667,0.1737490935460478
Transformer,beijing_aotizhongxin,full,1,0.0,0.0,on,default,huber,0.5,,,2668342,159.3,3.06,0.1983338273095986,8,96,24,256,2,0.0005,4.925037384033203,8.859993934631348,78.4994888305664,29.59580039978028,0.5941329002380371,3.339184761047364,4.2270050048828125,12.766502380371094,16.724353790283203,30.24210929870605,2.877332925796509,3.928054094314575,0.2834904789924621,0.7171255946159363,0.998367726802826,3.0663435459136963,5.218993663787842,4.394658088684082,7.934333801269531,4.99412202835083,8.974352836608887,5.867132663726807,10.285014152526855,0.7338651196519217,0.3949884602703594,1.0,0.566296383833609,0.9698893438549112,0.8538089122770591,0.1737490935460478
Transformer,beijing_aotizhongxin,full,3,0.0,0.0,on,default,huber,0.5,,,2668342,178.2,3.0,0.2015539373589857,9,96,24,256,2,0.0005,4.885488986968994,8.91010856628418,79.39002990722656,29.73579788208008,0.5964952707290649,3.313477039337158,4.187976360321045,12.827722549438477,16.890302658081055,29.248729705810547,2.68050479888916,3.707447052001953,0.2640184164047241,0.7202510237693787,0.9967464208602904,3.065753221511841,5.247072219848633,4.3064446449279785,7.837896823883057,5.008325576782227,9.193053245544434,5.787276744842529,10.273664474487305,0.7402465554749819,0.400802944128471,1.0,0.5722474325292572,0.9699768419973632,0.8490467288678698,0.1737490935460478
LSTM,jena,full,0,0.0,0.0,on,default,huber,0.5,,,834694,244.2,2.7,0.1643414747666572,10,96,24,256,2,0.0005,3.36149263381958,5.542644023895264,30.720903396606445,23.322620391845703,0.638745903968811,2.637598752975464,3.332409620285034,7.522701263427734,9.916319847106934,10.953900337219238,2.4078426361083984,3.442741870880127,0.2433217763900756,0.8778268098831177,1.262043833732605,1.8079140186309808,2.895799398422241,2.869441032409668,4.869464874267578,3.5120816230773926,5.75373125076294,4.140442848205566,6.494112491607666,0.7353381746716519,0.2138205660427783,0.9962229693271905,0.3520748683496399,0.971551859968379,0.7199370302544641,0.0721796807592752
LSTM,jena,full,2,0.0,0.0,on,default,huber,0.5,,,834694,270.1,2.7,0.160603895757483,11,96,24,256,2,0.0005,3.3151731491088867,5.536869049072266,30.65692138671875,23.033899307250977,0.6416680812835693,2.527315855026245,3.2178163528442383,7.468761444091797,9.935420036315918,10.695157051086426,2.38485074043274,3.460571050643921,0.2409435808658599,0.8797655701637268,1.259041428565979,1.651181697845459,2.6691789627075195,2.7690725326538086,4.776792049407959,3.460567712783813,5.773108005523682,4.179268836975098,6.53168535232544,0.7235853465631291,0.2067215033039647,0.9972191092848546,0.342453159631406,0.9714456275468648,0.7230512752426498,0.0721796807592752
LSTM,jena,full,4,0.0,0.0,on,default,huber,0.5,,,834694,244.1,2.65,0.1638576297261589,10,96,24,256,2,0.0005,3.396911382675171,5.615788459777832,31.537080764770508,23.21546936035156,0.6345152854919434,2.502429962158203,3.199521541595459,7.734158515930176,10.098922729492188,11.411263465881348,2.4706268310546875,3.5084757804870605,0.2496722340583801,0.8804317116737366,1.2703444957733154,1.7963892221450806,2.9423129558563232,2.917490243911743,4.983335971832275,3.526276111602783,5.792661190032959,4.175814628601074,6.521667957305908,0.7070451059342345,0.1975059314172187,0.9985472958950732,0.329783005030774,0.9716192320443028,0.7201653085847408,0.0721796807592752
