model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
Transformer,jena,full,1,0.0,0.0,off,default,mse,0.0,,,2670099,245.9,5.12,0.3694380497821751,9,96,24,256,2,0.0005,3.2603871822357178,5.458751678466797,29.7979679107666,22.590877532958984,0.6548194289207458,2.1953353881835938,2.8227579593658447,7.34218168258667,9.82185173034668,10.58135223388672,2.593397617340088,3.636872291564941,0.2620193064212799,0.910636067390442,1.236221432685852,1.9708702564239504,3.132709503173828,2.803556442260742,4.847206115722656,3.385326147079468,5.67498254776001,3.987691879272461,6.296683311462402,0.718666115425175,0.2041077543823958,0.9994189183580292,0.3389856755710414,0.97435113566856,0.74199939682216,0.0721796807592752
Transformer,jena,full,3,0.0,0.0,off,default,mse,0.0,,,2670099,216.8,5.12,0.3731492462065506,8,96,24,256,2,0.0005,3.419351816177368,5.61604118347168,31.53992080688477,23.286285400390625,0.6436465978622437,2.457820415496826,3.114020586013794,7.608684539794922,10.064913749694824,10.93008041381836,2.703551769256592,3.693930387496948,0.2729878425598144,0.9073479771614076,1.2308106422424316,2.3439502716064453,3.722089052200317,2.9999890327453613,5.110629081726074,3.530382871627808,5.788599014282227,4.126439571380615,6.486207008361816,0.7203048605119355,0.205063571410323,0.9994604241895988,0.3403052572074618,0.9743688831879018,0.7415805006354464,0.0721796807592752
Informer,beijing_aotizhongxin,full,0,0.0,0.0,off,default,mse,0.0,,,2865682,179.7,3.43,0.4352479007943105,10,96,24,256,2,0.0005,4.716429710388184,8.734247207641602,76.28707885742188,28.80669212341309,0.6147384643554688,2.749452590942383,3.521820545196533,12.52751922607422,16.656526565551758,32.23990631103516,2.890499353408813,3.7876243591308594,0.2849762141704559,0.6982513666152954,0.9793511629104614,3.3035454750061035,5.645310878753662,4.073655128479004,7.579085350036621,4.78897762298584,8.954475402832031,5.444538593292236,9.861671447753906,0.7216944645878656,0.3843541961874716,1.0,0.5552830297997258,0.9697507100990908,0.858111072628488,0.1737490935460478
Informer,beijing_aotizhongxin,full,2,0.0,0.0,off,default,mse,0.0,,,2865682,182.7,3.51,0.4326237181945645,10,96,24,256,2,0.0005,4.696828365325928,8.672165870666504,75.20645904541016,28.810596466064453,0.604261040687561,2.6415371894836426,3.385464191436768,12.54693603515625,16.542695999145508,29.45217704772949,2.866802930831909,3.832191467285156,0.2826820313930511,0.7320378422737122,1.0089329481124878,3.080586671829224,5.372457981109619,4.055934906005859,7.5549468994140625,4.799622058868408,8.761950492858887,5.43280839920044,9.781609535217283,0.7221899927483684,0.3847759755901718,1.0,0.5557230662182535,0.9701799028434716,0.8575077609012733,0.1737490935460478
Informer,beijing_aotizhongxin,full,4,0.0,0.0,off,default,mse,0.0,,,2865682,173.5,3.61,0.4398237596509869,9,96,24,256,2,0.0005,4.805639743804932,8.638373374938965,74.62149810791016,29.59986686706543,0.6129119396209717,2.964173078536988,3.7640907764434814,12.446264266967772,16.33286476135254,30.428726196289062,3.096677780151367,4.074460029602051,0.3053595423698425,0.7154386043548584,0.9766919016838074,3.4095675945281982,5.6991868019104,4.381357192993164,7.86680269241333,4.817760467529297,8.641387939453125,5.427690029144287,9.60276222229004,0.7147993715252599,0.3785797990704043,1.0,0.5492316067966265,0.9691521996108052,0.8564965488286304,0.1737490935460478
Transformer,beijing_aotizhongxin,full,1,0.0,0.0,on,default,mse,0.0,,,2668342,119.6,3.23,0.4619089706319956,8,96,24,256,2,0.0005,4.88189172744751,9.00856113433838,81.1541748046875,29.49556350708008,0.5809956789016724,2.42553973197937,3.133544683456421,13.40113925933838,17.260066986083984,31.1457576751709,2.9250779151916504,3.9763662815094,0.2882807552814483,0.7758066654205322,1.0374023914337158,2.946110486984253,5.234294891357422,4.512913227081299,8.303315162658691,5.03715181350708,9.250391960144045,5.668851852416992,10.176573753356934,0.7113790186125212,0.3757792793381517,1.0,0.5462784401272978,0.9688683914811862,0.8529606303954286,0.1737490935460478
Transformer,beijing_aotizhongxin,full,3,0.0,0.0,on,default,mse,0.0,,,2668342,119.9,3.12,0.4666165116088806,8,96,24,256,2,0.0005,4.819793701171875,9.024090766906738,81.43421173095703,29.23103904724121,0.5837956070899963,2.3742642402648926,3.111410617828369,13.205560684204102,17.284849166870117,32.427642822265625,2.9610860347747803,4.028800010681152,0.2916362583637237,0.7382636666297913,1.028975486755371,2.9994542598724365,5.428611278533936,4.358311653137207,8.244454383850098,5.022243022918701,9.55168342590332,5.5707831382751465,10.027023315429688,0.7081459995165579,0.373169971965528,1.0,0.5435160680529301,0.9682094915974758,0.848323458466656,0.1737490935460478
LSTM,jena,full,0,0.0,0.0,on,default,mse,0.0,,,834694,124.9,2.9,0.3753586298414952,9,96,24,256,2,0.0005,3.322427988052368,5.561625957489014,30.931684494018555,22.716693878173828,0.6419314742088318,2.117978572845459,2.76705002784729,7.714798450469971,10.071695327758787,11.21657371520996,2.547103881835937,3.607525587081909,0.2572669684886932,0.9098318815231324,1.2715657949447632,1.7891924381256104,3.111736297607422,2.8304145336151123,4.925543785095215,3.4747118949890137,5.7556023597717285,4.12093448638916,6.481489181518555,0.6761066772121561,0.1820411128939481,0.9982982609056572,0.3079306349501015,0.9710596486698366,0.7257296608685844,0.0721796807592752
LSTM,jena,full,2,0.0,0.0,on,default,mse,0.0,,,834694,140.6,3.02,0.3735166582256343,10,96,24,256,2,0.0005,3.2713372707366943,5.522195816040039,30.494644165039062,22.421375274658203,0.6495841145515442,2.058945417404175,2.6827337741851807,7.68794584274292,10.051095008850098,11.246092796325684,2.440268516540528,3.487253189086914,0.2465301007032394,0.8981873393058777,1.2633675336837769,1.6451560258865356,2.851336002349853,2.793130159378052,4.870357990264893,3.402972221374512,5.67891788482666,4.072455883026123,6.457101821899414,0.6751809510114083,0.1816019391815868,0.9981737434109492,0.3072961921799131,0.9730685239353551,0.7461024076481921,0.0721796807592752
LSTM,jena,full,4,0.0,0.0,on,default,mse,0.0,,,834694,139.4,2.83,0.3682162372308114,10,96,24,256,2,0.0005,3.261584997177124,5.493527412414551,30.178842544555664,22.37412071228028,0.6527365446090698,2.0138275623321533,2.6292965412139893,7.708816528320312,10.008872032165527,11.353679656982422,2.433151960372925,3.4692327976226807,0.2458962202072143,0.8905404806137085,1.2605706453323364,1.6148582696914673,2.815398693084717,2.782059907913208,4.8508620262146,3.4159483909606934,5.680830001831055,4.08180046081543,6.438683032989502,0.6666936295657175,0.1779173749168575,0.9992113892001826,0.3020520316430682,0.9731599346931548,0.7379473412659735,0.0721796807592752
