model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
TimesNet,jena,full,2,0.9752389998031685,0.752177100647587,0.7016658452439626,0.6682186842895764,0.7386377786078944,300863,8836,6297,17796,0.07217968075927524
TimesNet,jena,full,3,0.9739729547398941,0.7434503284727393,0.6992957883853852,0.6596981965403018,0.7439505250487694,300453,9246,6169,17924,0.07217968075927524
TimesNet,jena,full,4,0.9751023228832136,0.7696721380063839,0.7077454767229112,0.6935888751643623,0.7224920101274229,302009,7690,6686,17407,0.07217968075927524
Transformer,jena,full,0,0.9751610130154605,0.7503511215078789,0.7032526984473689,0.6262724502366596,0.801809654256423,298171,11528,4775,19318,0.07217968075927524
Transformer,jena,full,1,0.9764508070095689,0.7618575013520403,0.7069980609906575,0.6144559855378865,0.832357946291454,297116,12583,4039,20054,0.07217968075927524
Transformer,jena,full,2,0.9737814796928383,0.7255223491794528,0.6871662393244781,0.6415868673050615,0.7397169302286971,299743,9956,6271,17822,0.07217968075927524
Transformer,jena,full,3,0.9764032575502363,0.7623024140220136,0.7177245372998751,0.6596055514974434,0.7870750840493089,299913,9786,5130,18963,0.07217968075927524
Transformer,jena,full,4,0.9774965667661082,0.7664420943037419,0.7126436781609196,0.6244144650552745,0.8299091022288632,297672,12027,4098,19995,0.07217968075927524
XAI-MeteoFormer,jena,full,0,0.9711915605119532,0.7336430664949636,0.6907057943303683,0.6917121092286559,0.6897024031876479,302293,7406,7476,16617,0.07217968075927524
XAI-MeteoFormer,jena,full,1,0.9714857065354808,0.7394320876223388,0.6841043714570816,0.7002347009735744,0.6687004524135641,302802,6897,7982,16111,0.07217968075927524
XAI-MeteoFormer,jena,full,2,0.9720756125842913,0.7429402101308876,0.6866577420794289,0.7424132773676847,0.6386917361889346,304360,5339,8705,15388,0.07217968075927524
XAI-MeteoFormer,jena,full,3,0.971373441676866,0.7394813859471926,0.6923894247796829,0.6950974650715301,0.6897024031876479,302410,7289,7476,16617,0.07217968075927524
