model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
Informer,beijing_aotizhongxin,full,3,0.9722241427537044,0.8681625310883365,0.7925033467202142,0.7043045641358425,0.905954368391764,125792,10936,2704,26048,0.17374909354604787
Informer,beijing_aotizhongxin,full,4,0.9711120699370897,0.8615066411049807,0.7931090630800794,0.7456371318351601,0.8470367278797997,128420,8308,4398,24354,0.17374909354604787
LSTM,beijing_aotizhongxin,full,0,0.9672017994125409,0.8322535878434729,0.7838717331615878,0.7644628099173554,0.8042918753478019,129603,7125,5627,23125,0.17374909354604787
LSTM,beijing_aotizhongxin,full,1,0.9693768802995273,0.8459388435364645,0.759515281978956,0.8141635170081559,0.7117417918753478,132057,4671,8288,20464,0.17374909354604787
LSTM,beijing_aotizhongxin,full,2,0.9694953762016636,0.846734442380692,0.7634082169601295,0.8104222821203954,0.7215498052309405,131875,4853,8006,20746,0.17374909354604787
LSTM,beijing_aotizhongxin,full,3,0.9713040802231122,0.856466217568334,0.7763081183500947,0.8151591674318948,0.7409919309961046,131897,4831,7447,21305,0.17374909354604787
LSTM,beijing_aotizhongxin,full,4,0.9704488277444168,0.8516375187160831,0.7672084392197013,0.8087107342455193,0.7297579298831386,131765,4963,7770,20982,0.17374909354604787
PatchTST,beijing_aotizhongxin,full,0,0.9717345884679646,0.8630622580504778,0.7521436227224009,0.8362700034048348,0.6833959376739009,132881,3847,9103,19649,0.17374909354604787
PatchTST,beijing_aotizhongxin,full,1,0.971502891988707,0.8611877208266738,0.7506524408965306,0.8372859589041096,0.6802657206455203,132927,3801,9193,19559,0.17374909354604787
PatchTST,beijing_aotizhongxin,full,2,0.9691550793905285,0.845108251508473,0.7470851165002378,0.8243714057843261,0.6830481357818586,132544,4184,9113,19639,0.17374909354604787
PatchTST,beijing_aotizhongxin,full,3,0.9692937312069763,0.8460872363239244,0.7391640567606232,0.832114564290067,0.664892877017251,132871,3857,9635,19117,0.17374909354604787
PatchTST,beijing_aotizhongxin,full,4,0.9706934628824258,0.8600768032726852,0.7531531531531531,0.8389273208642924,0.6832915971062883,132956,3772,9106,19646,0.17374909354604787
TFT,beijing_aotizhongxin,full,0,0.9701049906687912,0.8597638267813287,0.7931483014341943,0.7710954179668255,0.8164997217584864,129759,6969,5276,23476,0.17374909354604787
TFT,beijing_aotizhongxin,full,1,0.9652844352810824,0.8320268449787553,0.764154389382686,0.7643272208497164,0.7639816360601002,129955,6773,6786,21966,0.17374909354604787
TFT,beijing_aotizhongxin,full,2,0.9717346778807878,0.8604995560233852,0.7896247475284363,0.8047670639219935,0.7750417362270451,131322,5406,6468,22284,0.17374909354604787
TFT,beijing_aotizhongxin,full,3,0.9633705953884877,0.8278840542301452,0.7800321314407804,0.744600790513834,0.8190038953811909,128651,8077,5204,23548,0.17374909354604787
TFT,beijing_aotizhongxin,full,4,0.9688329392331506,0.8464643352926992,0.7922641101899082,0.7584539526006044,0.8292292710072343,129135,7593,4910,23842,0.17374909354604787
TimesNet,beijing_aotizhongxin,full,0,0.9708699878340765,0.8519554419422286,0.7993736032494332,0.7527264907376118,0.8521841958820257,128679,8049,4250,24502,0.17374909354604787
TimesNet,beijing_aotizhongxin,full,1,0.970522456088317,0.8443912336342082,0.7994637620444072,0.7713999288555444,0.8296466332776851,129659,7069,4898,23854,0.17374909354604787
TimesNet,beijing_aotizhongxin,full,2,0.9715826885455403,0.855099393154622,0.8018764176232044,0.7924534709957887,0.8115261547022816,130617,6111,5419,23333,0.17374909354604787
TimesNet,beijing_aotizhongxin,full,3,0.9735654931974094,0.8652760491117347,0.8128961603557562,0.7772735926889637,0.851940734557596,129709,7019,4257,24495,0.17374909354604787
TimesNet,beijing_aotizhongxin,full,4,0.9714950246777561,0.8568842628157627,0.797516290812323,0.7825912286575158,0.8130217028380634,130234,6494,5376,23376,0.17374909354604787
Transformer,beijing_aotizhongxin,full,0,0.96808353322225,0.8492960970620916,0.7844937345037861,0.7567550096961861,0.8143433500278241,129202,7526,5338,23414,0.17374909354604787
