model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
PatchTST,beijing_aotizhongxin,full,4,0.0,1657880.0,308.0,4.57,0.1793405444556223,12.0,96,24,256,2,0.0005,0.0,4.322015285491943,8.272103309631348,68.42768859863281,27.38549995422364,0.6305261254310608,2.090248346328736,2.7468292713165283,11.932170867919922,15.88192367553711,28.540267944335938,2.5644497871398926,3.5975420475006104,0.2525603175163269,0.7011936902999878,0.993930160999298,1.67805814743042,3.2795259952545166,3.728752613067627,7.157673358917236,4.666783809661865,8.736006736755371,5.292102336883545,9.711010932922363,0.7026589315929418,0.3688234388629483,1.0,0.5388911796678787,0.9706934640271134,0.8600767082412317,0.1737490935460478
iTransformer,beijing_aotizhongxin,full,0,0.0,1611032.0,41.8,1.41,0.1798283918385383,11.0,96,24,256,2,0.0005,0.0,4.256398677825928,8.244465827941895,67.97122192382812,27.29543685913086,0.6253935694694519,2.0440518856048584,2.6914098262786865,11.528790473937988,15.785073280334473,27.916860580444336,2.7379274368286133,3.803648710250856,0.2696739435195923,0.7148271203041077,1.0024374723434448,1.8243623971939087,3.4799437522888184,3.675037860870361,7.058068752288818,4.568284511566162,8.640817642211914,5.245924472808838,9.78207015991211,0.704520183708001,0.3702864207706573,1.0,0.5404511278195488,0.9733126491227831,0.8708466026101445,0.1737490935460478
iTransformer,beijing_aotizhongxin,full,1,0.0,1611032.0,41.2,1.43,0.1816727172617437,11.0,96,24,256,2,0.0005,0.0,4.236266613006592,8.220161437988281,67.57105255126953,27.19239616394043,0.6246684789657593,2.03568172454834,2.684121608734131,11.468731880187988,15.72864818572998,27.18941307067871,2.729434967041016,3.8313703536987305,0.2687453031539917,0.7112192511558533,1.004982590675354,1.7585347890853882,3.40456223487854,3.621522665023804,7.001980781555176,4.530357360839844,8.647478103637695,5.227404594421387,9.704702377319336,0.7033961808073483,0.3694015468818254,1.0,0.5395080029272137,0.9729759122902032,0.8679663671404734,0.1737490935460478
iTransformer,beijing_aotizhongxin,full,2,0.0,1611032.0,41.9,1.41,0.180839857270769,11.0,96,24,256,2,0.0005,0.0,4.2470293045043945,8.293310165405273,68.77899169921875,27.3886947631836,0.6235692501068115,2.043849229812622,2.679892063140869,11.579991340637209,15.904072761535645,27.57161331176757,2.649906873703003,3.7395107746124254,0.2609455585479736,0.7143657803535461,1.005345106124878,1.9205138683319087,3.7226693630218506,3.6439244747161865,7.124430179595947,4.521370887756348,8.656519889831543,5.223789215087891,9.803693771362305,0.7037104181774233,0.3696485047954539,1.0,0.5397713406048773,0.9730803258634498,0.8694206059618268,0.1737490935460478
iTransformer,beijing_aotizhongxin,full,3,0.0,1611032.0,38.8,1.38,0.1793040709885165,10.0,96,24,256,2,0.0005,0.0,4.237198829650879,8.276616096496582,68.50238037109375,27.325782775878903,0.6232699155807495,1.97872793674469,2.603370189666748,11.53712272644043,15.870319366455078,27.38076400756836,2.71623158454895,3.788298606872559,0.2674317955970764,0.7167156338691711,1.006826400756836,1.8258681297302248,3.5633304119110107,3.637060642242432,7.083293914794922,4.545149326324463,8.667510986328125,5.219322681427002,9.733813285827637,0.7017222625090646,0.3680915620079118,1.0,0.538109542124028,0.9734890056781637,0.8718954128134391,0.1737490935460478
iTransformer,beijing_aotizhongxin,full,4,0.0,1611032.0,41.5,1.4,0.1804747780340063,11.0,96,24,256,2,0.0005,0.0,4.27822208404541,8.294769287109375,68.80319213867188,27.363359451293945,0.6222226619720459,2.075082778930664,2.727849006652832,11.608427047729492,15.88893699645996,28.35092544555664,2.708350658416748,3.781595706939697,0.2667409479618072,0.7210243344306946,1.0063774585723877,1.8374879360198968,3.567323684692383,3.7149581909179688,7.263036727905273,4.552108287811279,8.661637306213379,5.267521858215332,9.765951156616213,0.7058315204254291,0.3713241466596066,1.0,0.5415556162474219,0.9733273626833115,0.870957651124179,0.1737490935460478
LSTM,beijing_aotizhongxin,full,0,0.0,833668.0,39.8,1.59,0.1817695901946117,11.0,96,24,256,2,0.0005,0.0,4.32642126083374,8.150224685668945,66.42616271972656,27.40477561950684,0.6389838457107544,2.497053623199463,3.259826898574829,11.606468200683594,15.555055618286133,27.97424697875977,2.5194754600524902,3.487672805786133,0.2482446581125259,0.6826865077018738,0.9770582318305968,2.708503007888794,4.812449455261231,3.722445249557495,7.021288871765137,4.412728309631348,8.369588851928711,5.352522373199463,9.67822265625,0.709233744259125,0.3740438153718062,1.0,0.5444423404658209,0.967201800430041,0.8322535020609738,0.1737490935460478
LSTM,beijing_aotizhongxin,full,1,0.0,833668.0,36.8,1.84,0.1809231019940459,10.0,96,24,256,2,0.0005,0.0,4.386363983154297,8.103074073791504,65.65980529785156,27.7590446472168,0.6348714828491211,2.579106092453003,3.35761833190918,11.590225219726562,15.385093688964844,27.09003639221192,2.6809237003326416,3.701386213302612,0.2641579806804657,0.6952010989189148,0.981944978237152,2.8277060985565186,4.954644680023193,3.774792432785034,6.962686061859131,4.54926061630249,8.373434066772461,5.313075542449951,9.55365753173828,0.7109016195310611,0.375391685815751,1.0,0.545868772782503,0.9693768804267148,0.8459387589430309,0.1737490935460478
LSTM,beijing_aotizhongxin,full,2,0.0,833668.0,40.0,1.64,0.1818208245443389,11.0,96,24,256,2,0.0005,0.0,4.3064470291137695,8.082003593444824,65.31877899169922,27.547990798950195,0.6390466690063477,2.634429693222046,3.4007723331451416,11.389418601989746,15.37689971923828,27.0659236907959,2.5105955600738525,3.5076663494110107,0.2473107278347015,0.6913436651229858,0.9782971739768982,2.639347076416016,4.658001899719238,3.668281078338623,6.9178385734558105,4.430775165557861,8.27800464630127,5.287457942962647,9.567548751831056,0.7162315687696398,0.3797648923523973,1.0,0.5504776856656008,0.969495375056976,0.8467343739799148,0.1737490935460478
LSTM,beijing_aotizhongxin,full,3,0.0,833668.0,40.0,1.6,0.1799820938494341,11.0,96,24,256,2,0.0005,0.0,4.323938846588135,8.087265968322754,65.40387725830078,27.406009674072266,0.6409282088279724,2.587462902069092,3.35823130607605,11.48188591003418,15.393251419067385,26.273181915283203,2.5293428897857666,3.526636838912964,0.2492816895246505,0.6970607042312622,0.973849594593048,2.6217377185821533,4.649332046508789,3.666795253753662,6.877651691436768,4.45299243927002,8.304301261901855,5.233307838439941,9.444584846496582,0.7157420836354846,0.379359026797377,1.0,0.5500511751145462,0.971304081622175,0.8564661720992122,0.1737490935460478
